Unicode		按	遺		現		擴	Baxter 白一平	TUPA（用現）	遺	現	遺	現
13507	㓃		知開二麻去	✓	知開二麻去	✓	知開二〇麻去	traeH	trae③		zaa3		zha4
13507	㓃		端模去	✓	端一模去	✓	端〇一〇模去	tuH	to③		dou3		du4
13508	㓄		知侵去	✓	知開三侵去	✓	知開三〇侵去	trimH	trim③		zam3		zhen4
13514	㓊		定一東去	✓	定一東去	✓	定〇一〇東去	duwngH	doung③		dung6		dong4
13526	㓖		幫A眞入	✓	幫三A真入	✓	幫〇三A真入	pjit	pit		bat1		bi
13528	㓘		心三東入	✓	心三東入		心〇三〇東入	sjuwk	suk		suk1		su
13530	㓚		見一東平	✓	見一東平	✓	見〇一〇東平	kuwng	koung		gung1		gong1
13533	㓝		匣開青平	✓	匣開四青平	✓	匣開四〇青平	heng	gheng		hing4		xing2
13534	㓞		溪開山入	✓	溪開二山入	✓	溪開二〇山入	kheat	kheet		haat3		qia
13536	㓠		端添上	✓	端開四添上	✓	端開四〇添上	temX	tem②		dim2		dian3
13538	㓢		來開唐入	✓	來開一唐入	✓	來開一〇唐入	lak	lak		lok6		luo4
13539	㓣		溪咸入	✓	溪開二咸入	✓	溪開二〇咸入	kheap	kheep		haap3		qia
13540	㓤		溪開山入	✓	溪開二山入	✓	溪開二〇山入	kheat	kheet		haat3		qia
13553	㓱		定侯平	✓	定一侯平	✓	定〇一〇侯平	duw	dou		tau4		tou2
13555	㓳		端開齊平	✓	端開四齊平	✓	端開四〇齊平	tej	tej		dai1		di1
13559	㓷		疑開B祭去	✓	疑開三B祭去	✓	疑開三B祭去	ngjejH	ngyej③		ngai6		yi4
13561	㓹		清合祭去	✓	清合三祭去	✓	請合三〇祭去	tshjwejH	tshwiej③		ceoi3		cui4
13562	㓺		見開元平	✓	見開三C元平	✓	見開三C元平	kjon	kyon		gin1		jian1
13563	㓻		見開唐平	✓	見開一唐平	✓	見開一〇唐平	kang	kang		gong1		gang1
13564	㓼		初之上	✓	初開三之上	!	初開三〇之上	tsrhiX	tsrhy②		ci2		chi3
13564	㓼		初臻入	✓	初開三臻入	✓✓	初開三〇臻入	tsrhit	tsrhyit		cat1		che
13565	㓽		崇三東去	✓	崇三東去	✓	崇〇三〇東去	dzrjuwngH	dzrung③		zung6		zhong4
13565	㓽		崇三東平	✓	崇三東平	✓	崇〇三〇東平	dzrjuwng	dzrung		cung4		chong2
13570	㔂		來開眞去	✓	來開三真去		來開三〇真去	linH	lin③		lan6		lin4
