㜗	tshop4
㜗	tshom1
㜘	tsjae1
㜝	ngom2
㜝	hom2
㜢	lju2
㜣	nyen1
㜣	syen2
㜣	nen3
㜤	syim2
㜤	nem2
㜪	srin1
㜮	lam3
㜰	yak4
㜰	syak4
㜲	yeng1
㜳	hweaj1
㜵	new2
㜷	mjie1
㜸	ngjet4
㜺	dzan3
㜺	tsan3
㜽	tsi2
㝂	tsyej3
㝃	mjen2
㝃	mjon2
㝅	nuw2
㝅	kuw3
㝈	srjwen3
㝈	srwaen3
㝌	yuw2
㝌	kjuw3
㝏	keaj3
㝐	yowng1
㝖	ngje1
㝗	lang2
㝗	lang1
㝞	ae1
㝢	hju2
㝣	et4
㝣	ej3
㝤	kuw3
㝩	khang2
㝩	khang1
㝪	tep4
㝪	tem3
㝯	gjew1
㝰	men1
㝱	mjuwng3
㝸	bjen3
㝻	gin3
㝼	ju1
㝾	tsa2
㝾	tsa3
㝿	pa2
㞁	yew3
㞂	thwoj2
㞄	om2
㞄	om1
㞆	khje3
㞆	kje2
㞇	woj2
㞋	nrjen2
㞋	nywen2
㞏	drip4
㞒	xeaj3
㞓	khjij3
㞕	swot4
㞙	new3
㞚	tsrhip4
㞚	sraep4
㞚	tsreap4
㞛	kij2
㞜	thwoj1
㞟	den3
㞟	teng2
㞡	trjen2
㞢	tsyi1
㞣	bjun1
㞣	phjun1
㞥	dzrim1
㞦	kij2
㞷	gjwang1
㞽	xjwot4
㟅	luwng1
㟅	nguwng1
㟅	ngaewng1
㟉	law1
㟋	dwaj3
㟌	maewng1
㟍	lang1
㟎	thwa2
㟎	thwoj2
㟏	xom1
㟐	mang2
㟐	mang3
㟛	dzam2
㟞	dzrean2
㟪	jwïj1
㟳	lit4
㟸	kaw1
㟺	lju1
㟽	pjiew2
㟾	yowng1
㠀	taw2
㠆	tan1
㠇	dzjuw3
㠊	khjo1
㠍	tsip4
㠐	gjew1
㠑	dzwij2
㠑	dzwoj2
㠒	pjiew1
㠔	pea3
㠖	ngje2
㠛	waek4
㠝	dzwan1
㠠	ljo1
㠢	hweaj1
㠥	lwij1
㠦	phjuwng1
㠭	trjen2
㠯	yi2
㠴	nyit4
㠵	xwang1
㠷	kop4
㠸	pju1
㠹	keaj3
