	baxter1992	baxter-sagart	jinlixin	lifanggui	msoeg	msoegDK	schuesslerLHC	schuesslerOC	starostinLO	starostinTK	wangli	zhengzhang	zhoufagao	MC
蠆	(C-)hrjats	mə-r̥ˤa[t]-s	sra̠s	tʰradh	ɹ̥ˁaθ（chài）	r̥ˤath❓	ʈʰas	tʰâts⸗r̥âts	r̥aːtɕ（chài）	srʰaːtɕ（chài）	tʰeat	m̥ʰraːds	tʰrar	徹開二夬去
厲	(C-)hrjats⸗C-rjats	[r]at-s	ra̠s	ljadh	ɹaθ（lì）⸗ɹaθ（lì）⸗ɹaθ（lì）	rath	ljas	rats	ratɕ（lì）	ratɕ（lì）	lǐat	m·rads	liar	來開三祭去
輪	(C-)rwjɨn	[r]u[n]		ljən	ɹun（lún）	run	lʷin	run	rwən（lún）	run（lún）	lǐwən	run	liwən	來合三真平
眔	(g-)lɨp	m-rˤəp		dəp	ɫˁəp（tà）	lˤəp	dəp	lə̂p				l'uːb	dəp	定開一覃入入
逮	(g-)lɨps⸗(g)lɨts	m-rˤəp-s	zɯs	diədh⸗dədh	ɫˁəθ（dài）	lˤəph	dəs⸗jis⸗des	lə̂s⸗lîs⸗lə̂ts	lʱəːtɕ（dài）	lʱəːtɕ（dài）	dat	l'ɯːds⸗l'ɯːds	der⸗dər	定開一咍去⸗定開四齊去
隶	(g-)lɨps⸗(g)lɨts	m-rˤəp-s		rədh⸗dədh	ɫˁəθ（dài）	lˁəph❓	dəs⸗jis	lə̂s				lɯds	riər	以開三脂去⸗定開一咍去
萏	(g-)lomʔ	rˤomʔ	zomʔ		ɫˁəmʔ（dàn）	lˤəmʔ	dəmᴮ	lə̂mʔ		l⁽ʱ⁾əːmʔ（dàn）	dam	l'oːmʔ	dəm	定開一覃上
路	(g-)ras⸗g-raks	Cə.rˤak-s	lah	glagh	ɹˁah（lù）	rˤakh	lɑᶜ	râkh	raːh（lù）	raːh（lù）	la	g·raːgs	laɣ	來一模去
皇	(g)ʷaŋ	[ɢ]ʷˤaŋ	ʁaŋ	gwaŋ	wˁaŋ（huáng）⸗wˁaŋ（huáng）	wˤaŋ	ɣʷɑŋ	wâŋ	w⁽ʱ⁾aːŋ（huáng）	w⁽ʱ⁾aːŋ（huáng）	ɣuaŋ	gʷaːŋ	gwaŋ	匣合一唐平
獲	(g)ʷrak	m-qʷˤrak	ʁrak	gwrak	wʴˁak（huò）	wrˤak❓	ɣʷak	gʷrâk⸗wâk	whraːk（huò）	wʱraːk（huò）	ɣoək	ɢʷraːg⸗ɢʷreːg		匣合二耕入入
環	(g)ʷren	C.ɢʷˤ<r>en	ɢ/l/on	gwran	wʴˁɛn（huán）	wrˤen	ɣʷan	wên	whreːn（huán）	wʱreːn（huán）	ɣoan	gʷraːn	grwan	匣合二刪平
睘	(g)ʷren⸗gʷjeŋ⸗gʷreŋ	[ɢ]ʷˤ<r>en			gwɛŋ（qióng）⸗wʴˁɛn（huán）	ɡweŋ	gɥeŋ⸗ɣʷan	gʷeŋ⸗wên		g⁽ʱ⁾ʷeŋ（qióng）		gʷeŋ		羣合三A清平
完	(ɦ)gon⸗ɦkon	[ɢ]ˤo[n]	gon	gwan	[wˁa]n（wán）	ɡˤon	ɣʷɑn	gôn	gʱwaːn（wán）	gʱʷaːn（wán）	ɣuan	ɦŋoːn	gwan	匣合一寒平
閒	(ɦ)kren			krian⸗kranh	kɹˁɛn（jiān）	krˤen⸗krˤenh	kɛn⸗kɛnᶜ⸗gɛn	krên⸗krêns⸗grên		kreːn（jiān）	kean⸗kean		krian⸗krian	見開二山平⸗見開二山去⸗匣開二山平
壞	(ɦ)krujs	N-[k]ˤ<r>uj-s⸗m-[k]ˤ<r>uj-s⸗N-[k]ˤujʔ⸗m-[k]ˤujʔ⸗[k]ʷˤ<r>ujʔ-s	grurs	kwrəbh⸗gwrəbh	[wˁə]iʔ（huài）⸗[wˁə]iʔ（huài）⸗[wʴˁə]ih（huài）⸗[wʴˁə]ih（huài）⸗kʰ[wʴˁə]ih（huài）	krˤuih⸗ɡrˤuih	ɣʷɛjᶜ⸗kʷɛjᶜ⸗ɣʷəjᴮ	grûjh⸗krûjh⸗gûjʔ	grwəːjh（huài）	gruːjh（huài）	ɣoəi	gruːls	krwər⸗grwər	匣合二皆去⸗見合二皆去
達	(h)lat	[l]ˤat	sat⸗zat	tʰat⸗dat	[l]ˁat（dá）	l̥ˤat⸗lˤat	dɑt⸗tʰɑt	dât⸗tʰât	d⁽ʱ⁾aːt（dá）	l⁽ʱ⁾aːt（dá）	dat	tʰaːd⸗daːd	dat	透開一寒入入⸗定開一寒入入
土	(h)laʔ	tʰˤaʔ	thaʔ⸗thaʔ⸗daʔ	tʰagx	[tʰ]ˁaʔ（tǔ）	tʰˤaʔ⸗dˤaʔ	tʰɑᴮ⸗dɑᴮ	tʰâʔ⸗dâʔ	tʰáː（tǔ）	tʰaːʔ（tǔ）	tʰa	l̥ʰaːʔ⸗l'aːʔ	tʰaɣ⸗daɣ	透一模上⸗定一模上
説	(h)ljot(s)	l̥ot-s⸗l̥ot⸗lot			lɔt（yuè）⸗l̥ɔθ（shuì）⸗l̥ɔt（shuō）⸗lˁɔt（tuō）		ɕʷat⸗ɕʷas	l̥ot⸗l̥ots		dɮot（yuè）⸗tɬotɕ（shuì）⸗dɮ⁽ʱ⁾oːt（tuō）		hljods⸗hljod⸗lod		
脱	(h)lot⸗hlot(s)	lˤot-s⸗lˤot⸗mə-l̥ˤot			lˁɔθ（tuō）⸗lˁɔt（tuō）⸗l̥ˁɔt（tuō）		tʷʰɑt⸗dʷɑt⸗tʷʰɑs	l̥ôt⸗lôt⸗l̥ôts		tɬ⁽ʰ⁾oːtɕ（tuō）		l̥ʰoːd⸗l'oːd		
兑	(h)lots	lˤot-s			lˁɔθ（duì）⸗lˁɔθ（duì）		dʷɑs⸗tʷʰɑs	lôts⸗l̥ôts		dɮ⁽ʱ⁾oːtɕ（duì）		l'oːds		
撤	(ɦ)tʰrjet	m-tʰret⸗tʰret			[l]ʴɛt（chè）⸗[l̥]ʴɛt（chè）	l̥rat⸗lrat	ʈʰjat	tʰret	tʰret（chè）		tʰǐat	tʰed⸗ded	tʰiat	徹開三仙入入⸗澄開三仙入入
折	(ɦ)tjat	[d]ˤet-s⸗N-tet⸗tet	ta̠t	tjat⸗djat	dat（shé）⸗tat（zhé）⸗dˁɛθ（dì）	t[a]t⸗dat	tɕat⸗dʑat⸗de	tet⸗tat⸗det⸗dê	tat（zhé）		ȶǐat⸗ʑǐat	l'eːl⸗ʔljed⸗tjed⸗ɦljed⸗djed	tjiat⸗djiat	定開四齊平⸗常開三仙入入⸗章開三仙入入
謫	(ɦ)trek	m-tˤrek⸗C.tˤrek	trik	trik⸗drik	dʴˁɛk（zhé）⸗tʴˁɛk（zhé）	trˤek	ʈɛk⸗ɖɛk	trêk⸗drêk	treːk（zhé）		tek	rteːg	trek	知開二耕入入
朝	(ɦ)trjaw	m-t<r>aw⸗t<r>aw	t/l/ɯ̠⸗t/l/ɯ̠⸗d/l/ɯ̠	trjagʷ⸗drjagʷ	dʴau（cháo）⸗tʴau（zhāo）	trau⸗drau	ʈjɑw⸗ɖjɑw	traw⸗draw	dʱraw（cháo）	d⁽ʱ⁾raw（cháo）	tǐau⸗dǐau	ʔr'ew⸗r'ew	tiaw⸗diaw	澄開三宵平⸗知開三宵平
華	(h)wra⸗ɦhwra	qʷʰˤra⸗N-qʷʰˤra⸗[ɢ]ʷˤra-s	χ/l/a⸗ʁla	gwrag⸗hwrag⸗gwragh	wʴˁa（huá）⸗wʴˁah（huà）⸗w̥ʴˁa（huā）	w̥rˤa⸗wrˤa⸗wrˤah	ɣʷa⸗ɣʷaᶜ	wrâ⸗wâ⸗wrâh⸗wâh	w̥raː（huá）	wraː（huá）	ɣoa⸗hoa⸗ɣoa	qʰʷraː⸗gʷraː⸗gʷraːs	grwaɣ⸗xrwaɣ⸗grwaɣ	匣合二麻平⸗曉合二麻平⸗匣合二麻去
液	(l)jAk	ɢrAk		rak	ɫak（yè）	lak	jak	jak	l⁽ʱ⁾iak（yè）		ʎiak	laːg	riak	以開三清入入
夜	(l)jAks	[ɢ]Ak-s	ja̠h	riagh	ɫah（yè）	lakh	jaᶜ	jah⸗jakh		liah（yè）	ʎia	laːgs	raɣ	以開三麻去
羊	(l)jaŋ	ɢaŋ	ja̠ŋ	raŋ	ɫaŋ（yáng）	laŋ	jɑŋ	jaŋ	laŋ（yáng）	laŋ（yáng）	ʎǐaŋ	laŋ	ɣriaŋ	以開三陽平
洋	(l)jaŋ	ɢ(r)aŋ	ja̠ŋ	grjaŋ	ɫaŋ（yáng）	laŋ⸗slaŋ	jɑŋ	jaŋ	laŋ（yáng）	laŋ（yáng）	ʎǐaŋ	ljaŋ⸗laŋ	ɣriaŋ	以開三陽平⸗邪開三陽平
痒	(l)jaŋ	[ɢ](r)aŋ⸗s.[ɢ]aŋ	jaŋ⸗jaŋ	sgjaŋ⸗grjaŋx	ɫaŋ（yáng）⸗ɫaŋʔ（yǎng）⸗ɫ͂aŋ（yáng）	laŋʔ⸗slaŋ	jɑŋ⸗zjɑŋ⸗jjɑŋᴮ	jaŋ⸗s-jaŋ		lʱaŋʔ（yǎng）	ʎǐaŋ	ljaŋ⸗laŋʔ	rjaŋ⸗ɣriaŋ	以開三陽上⸗以開三陽去⸗邪開三陽平
養	(l)jaŋʔ	[ɢ](r)aŋʔ⸗[ɢ]aŋʔ	ja̠ŋʔ	grjaŋx	ɫaŋʔ（yǎng）⸗ɫaŋʔ（yǎng）	laŋʔ⸗laŋh	jɑŋᴮ⸗jɑŋᶜ	jaŋʔ⸗jaŋh	lʱáŋ（yǎng）	lʱaŋʔ（yǎng）	ʎǐaŋ	laŋʔ⸗laŋs	ɣriaŋ⸗ɣriaŋ	以開三陽上⸗以開三陽去
盈	(l)jeŋ	leŋ⸗liŋ❓	ji̠ŋ	riŋ	[ɫ]ɛŋ（yíng）	leŋ	jeŋ	leŋ	leŋ（yíng）	leŋ（yíng）	ʎǐeŋ	leŋ	rieŋ	以開三清平
楹	(l)jeŋ	leŋ	ji̠ŋ	riŋ	[ɫ]ɛŋ（yíng）	leŋ	jeŋ	leŋ		leŋ（yíng）		leŋ	rieŋ	以開三清平
贏	(l)jeŋ	[ɢ]eŋ	ji̠ŋ	riŋ	ɫɛŋ（yíng）	leŋ	jeŋ	leŋ	leŋ（yíng）	leŋ（yíng）	ʎǐeŋ	leŋ	rieŋ	以開三清平
胤	(l)jɨns	[ɢ]ə[n]-s	jins	rinh	ɫəlh（yìn）	liŋh	jɨnᶜ	ləns	lənh（yìn）	lərh（yìn）	ʎǐen	lins	rien⸗riən	以開三真去
容	(l)joŋ	[ɢ](r)oŋ	ɢo̠ŋ	grjuŋ	ɫɔŋ（róng）⸗ɫɔŋ（róng）	loŋ	joŋ	loŋ	loŋ（róng）	loŋ（róng）	ʎǐwɔŋ	loŋ	ɣriewŋ	以三鍾平
酉	(r)juʔ	N-ruʔ		rəgʷx	ɫuʔ（yǒu）⸗ɫuʔ（yǒu）⸗ɫuʔ（yǒu）	luʔ	juᴮ	juʔ	lú（yǒu）		ʎǐu	luʔ	riəw	以三尤上
青	(t)sreŋ	[s.r̥]ˤeŋ		tsʰiŋ	tsˁɛŋ（qīng）	tsʰˤeŋ	tsʰeŋ⸗tseŋ	tsʰêŋ⸗k-sêŋ⸗tsêŋ	sʰeːŋ（qīng）	sʰeːŋ（qīng）	tsʰieŋ	shleːŋ⸗shliːŋ	tsʰeŋ	清開四青平
昱	(w)rjɨp⸗(w)rjup	ɢʷrəp		gwrjək	ɫuk（yù）	luk	juk	luk⸗juk	luk（yù）		ʎǐwək	lug	ɣriwək	以三東入入
位	(w)rjɨts⸗(w)rjups⸗(w)rjuts	[ɢ]ʷrəp-s⸗ɢʷəʔ-rəp-s❓	gru̠s	gwjəbh	wʴəθ（wèi）	wrəph	wɨs	wus⸗wrəts	wrətɕ（wèi）	wrətɕ（wèi）	ɣǐwəi	ɢʷrɯbs		云合三B脂去
匐	b(j)ɨk	[b]ək⸗[b]ˤək⸗[b]ˤuk❓	be̠k	bjək⸗bək	bˁək（fú）⸗bək（fú）	bˤəkh⸗bək	bɑ⸗bʷɑ⸗buk⸗bək	bâ⸗ba⸗bək⸗bə̂k	b⁽ʱ⁾ək（fú）	b⁽ʱ⁾əːk（fú）	bǐwək	bɯːg⸗bɯg	bjwək⸗bwək	並三C東入入⸗並一登入入
皮	b(r)jaj	m-[p](r)aj	ba̠r	bjiar	b⁽ʴ⁾[a]i（pí）	b(r)ai	bɨ̯e⸗bɨ̯ɑj	baj	bhaj（pí）	bʱaj（pí）	bǐai	bral	biwa	並三B支平
瀌	b(r)jaw⸗p(r)jaw		pɯ	pjagʷ	p⁽ʴ⁾au（biāo）	p(r)au	pɨ̯aw	paw	paw（biāo）	paw（biāo）	pǐau	prew⸗biw	piaw	並三B幽平⸗幫三B宵平
釜	b(r)jaʔ		ba̠ʔ	bjagx	b⁽ʴ⁾aʔ（fǔ）	b(r)aʔ	bʷɑᴮ	baʔ	b⁽ʱ⁾á（fǔ）	b⁽ʱ⁾aʔ（fǔ）	bǐwa	baʔ	bjwaɣ	並三C虞上
輔	b(r)jaʔ	[b](r)aʔ	ba̠ʔ	bjagx	b⁽ʴ⁾aʔ（fǔ）	b(r)aʔ	bʷɑᴮ	baʔ	b⁽ʱ⁾á（fǔ）	b⁽ʱ⁾aʔ（fǔ）	bǐwa	baʔ	bjwaɣ	並三C虞上
父	b(r)jaʔ⸗p(r)jaʔ	p(r)aʔ⸗[N-p](r)aʔ	ba̠ʔ	bjagx	b⁽ʴ⁾aʔ（fù）⸗p⁽ʴ⁾aʔ（fǔ）	p(r)aʔ⸗b(r)aʔ	pʷɑᴮ⸗bʷɑᴮ	paʔ⸗baʔ	bá（fù）	baʔ（fù）	pǐwa⸗bǐwa	paʔ⸗baʔ	pjwaɣ⸗bjwaɣ	並三C虞上⸗幫三C虞上
馮	b(r)jɨŋ	[b]rəŋ⸗[Cə.b]əŋ	bre̠ŋ	bjəŋ⸗bjiəŋ	bʴəŋ（píng）⸗bʴəŋ（píng）⸗bəŋ（píng）	brəŋ⸗bləŋ	bɨŋ	brəŋ	bəŋ（píng）	brəŋ（píng）	bǐwəŋ⸗bǐəŋ	brɯŋ⸗bɯŋ	bjwəŋ⸗biəŋ	並三C東平⸗並三B蒸平
凡	b(r)jom	[b]rom	bru̠m	bjam	bam（fán）	bam	bʷɑm	bam	b⁽ʱ⁾ram（fán）		bǐwəm	bom	bjwam	並三C凡平
縫	b(r)joŋ	(mə-)[b](r)oŋ⸗C.[b](r)oŋ⸗C.[b](r)oŋ-s	bo̠ŋ	bjuŋ⸗bjuŋh	b⁽ʴ⁾ɔŋ（féng）⸗b⁽ʴ⁾ɔŋh（fèng）	b(r)oŋ	bʷoŋ⸗bʷoŋᶜ	boŋ⸗boŋh	bhoŋ（féng）	bʱoŋ（féng）⸗bʱoŋ（fèng）	bǐwɔŋ	boŋ⸗boŋs	bjewŋ⸗bjewŋ	並三C鍾去⸗並三C鍾平
附	b(r)jos	N-p(r)oʔ-s	bo̠h	bjugh	b⁽ʴ⁾ɔh（fù）	b(r)oh	bʷoᶜ	boh	boh（fù）	b⁽ʱ⁾oʔh（fù）	bǐwɔ	bos	bjew	並三C虞去
浮	b(r)ju	m.b(r)u	bru̠	bjəgʷ	b⁽ʴ⁾u（fú）	b(r)u	bu	bu	bhu（fú）	bʱu（fú）	bǐu	bu	bjəw	並三C尤平
復	b(r)juk⸗pjuk	[N]-pruk-s⸗m-p(r)uk	bu̠k	bjəgʷh⸗bjəkʷ	b⁽ʴ⁾uh（fù）⸗b⁽ʴ⁾uk（fù）	b(r)uk⸗b(r)ukh	buk⸗buᶜ	buk⸗bukh	b⁽ʱ⁾uk（fù）	b⁽ʱ⁾uk（fù）	bǐu⸗bǐuk	bugs⸗bug	bjəw⸗bjəwk	並三C東入入⸗並三C尤去
阜	b(r)juʔ	[b](r)uʔ	bu̠ʔ	bjəgʷx	b⁽ʴ⁾uʔ（fù）	b(r)uʔ	buᴮ	buʔ	bhú（fù）	bʱuʔ（fù）	bǐu	buʔ	bjəw	並三C尤上
蔀	b(r)oʔ⸗pʰ(r)oʔ					pʰˤoʔ⸗bˤoʔ	boᴮ⸗pʰoᴮ	bôʔ⸗pʰôʔ				pʰoːʔ⸗boːʔ	bəɣ⸗pʰəɣ	並一侯上⸗滂一侯上
蒲	ba	[b]ˤa	ba	bag	bˁa（pú）	bˤa	bɑ	bâ	bhaː（pú）	bʱaː（pú）	bua	baː	bwaɣ	並一模平
婆	baj	[b]ˤa[j]	bar		bˁ[a]i（pó）	bˤai	bɑj	bâj	b⁽ʱ⁾aːj（pó）		buai	baːl	bwa	並一歌平
茇	bat	m-pˤ[a]t⸗pˤ[a]t		pat⸗bat	b[a]t（bá）⸗p[a]t（bá）	pˤat⸗bˤat	bɑt⸗pɑt	bât⸗pât⸗bât-dap	b⁽ʱ⁾aːt（bá）	baːt（bá）	buat	poːd	pwat⸗bwat	並一寒入入⸗幫一寒入入
軷	bat	[b]ˤ[a]t		bat	b[a]t（bá）	bˤat⸗bˤath	bɑt⸗bɑs	bât⸗bâts⸗bât-dap	b⁽ʱ⁾aːt（bá）	b⁽ʱ⁾aːt（bá）	buat	boːds⸗boːd	bwar⸗bwat	並一寒入入⸗並一泰去
撥	bat⸗pat	pˤat	pat	pat	p[a]t（bō）	pˤat	pɑt	pât	paːt（bō）	paːt（bō）	puat	paːd	pwat	幫一寒入入
袍	baw⸗bu	m.[p]ˤu	buʔ		bˁu（páo）	bˤu⸗bˤuh	bow⸗bowᶜ	bû⸗bûh	bhuː（páo）	bʱuː（páo）	bu	buː	bəw	並一豪平⸗並一豪去
暴	bawks	[b]ˤawk-s⸗m-pˤawk	bɯh⸗bɯk	bagʷh⸗bakʷ	bˁauk（pù）⸗bˁauh（bào）	bˤaukh	bɑwᶜ⸗bok	bâwkh⸗bôk	baːwh（bào）	baːwh（bào）	bau⸗bəuk	boːwɢs⸗boːg	baw⸗bawk	並一豪去⸗並一東入入
簿	baʔ	[b]ˤaʔ			bˁaʔ（bù）	bˤak	bɑᴮ	bâʔ	bháː（bù）		bua	baːʔ⸗blaːʔ⸗baːg	bwaɣ	並一模上⸗並一唐入入
甓	bek	[b]ˤek	bik	bik	bˁɛk（pì）	bˤek	bek	bêk	bheːk（pì）	bʱeːk（pì）	biek	beːg	bek	並四青入入
屏	beŋ⸗pjeŋʔ	[b]ˤeŋ	pi̠ŋʔ⸗biŋ	pjiŋ⸗biŋ⸗pjiŋx	bˁɛŋ（píng）	bˤeŋ⸗peŋ⸗peŋʔ	beŋ⸗pjeŋᴮ⸗pjeŋᶜ⸗pjeŋ	bêŋ⸗peŋʔ⸗peŋh⸗peŋ	bheːŋ（píng）	b⁽ʱ⁾eːŋ（píng）	bieŋ⸗pǐeŋ	peŋ⸗peŋʔ⸗beːŋ	pjieŋ⸗beŋ⸗pjieŋ	並四青平⸗幫三A清上⸗幫三A清平
朋	bɨŋ	[b]ˤəŋ	beŋ	bəŋ	bˁəŋ（péng）	bˤəŋ	bəŋ	bə̂ŋ	bhəːŋ（péng）	bʱəːŋ（péng）	bəŋ	bɯːŋ	bwəŋ	並一登平
佩	bɨs	[b]ˤək-s	beh	bəgh	bˁəh（pèi）	bˤəkh	bəᶜ	bə̂h⸗bês	bəːh（pèi）	bəh（pèi）	buə	bɯːs	pʰwəɣ	並一灰去
倍	bɨʔ	[b]ˤəʔ	beʔ	bəgx	bˁəʔ（bèi）	bˤəʔ	bəᴮ⸗bəᶜ	bə̂ʔ⸗bə̂kh	bə́ː（bèi）	bəːʔ（bèi）	bə	bɯːʔ		並一灰上
縛	bjak	bak		bjak	bak（fù）	bak	bʷɑk	bak	bak（fú）		bǐwak	baːgs⸗baːh⸗bag	bjwak	並三C歌去⸗並三C陽入入
樊	bjan		ba̠l	bjan	b[a]n（fán）	ban	bʷɑn⸗bɑn	ban⸗bân	b⁽ʱ⁾an（fán）	b⁽ʱ⁾an（fán）	bǐwan	ban	bjwan	並三C元平
燔	bjan	[b]ar	ba̠l	bjan	b[a]l（fán）	ban	bʷɑn	ban	b⁽ʱ⁾an（fán）	b⁽ʱ⁾ar（fán）	bǐwan	ban	bjwan	並三C元平
繁	bjan	[b]ar	ba̠l	bjan	b[a]l（fán）	bˤan⸗ban	bɑn⸗bʷɑn	bân⸗ban	b⁽ʱ⁾an（fán）	b⁽ʱ⁾ar（fán）	bǐwan	baːl⸗baːn⸗ban	bjwan⸗bwan	並三C元平⸗並一歌平⸗並一寒平
袢	bjan		ba̠n	bjan	b[a]n（pàn）	ban	bʷɑn	ban	b⁽ʱ⁾an（fán）	b⁽ʱ⁾an（pàn）	bǐwan	ban	bjwan	並三C元平
防	bjaŋ	[m-p]aŋ	ba̠ŋ	bjaŋ⸗bjaŋh	baŋ（fáng）	baŋ⸗baŋh	bʷɑŋ	baŋ	baŋ（fáng）	baŋ（fáng）	bǐwaŋ⸗bǐwaŋ	baŋ⸗baŋs	bjwaŋ⸗bjwaŋ	並三C陽平⸗並三C陽去
房	bjaŋ	[Cə-N-]paŋ	ba̠ŋ	bjaŋ	baŋ（fáng）	bˤaŋ⸗baŋ	bʷɑŋ	baŋ	baŋ（fáng）	baŋ（fáng）	bǐwaŋ⸗buaŋ	baːŋ⸗baŋ	bjwaŋ	並三C陽平⸗並一唐平
魴	bjaŋ	[b]aŋ	ba̠ŋ	bjaŋ	baŋ（fáng）	baŋ	bʷɑŋ	baŋ	b⁽ʱ⁾aŋ（fáng）	b⁽ʱ⁾aŋ（fáng）	bǐwaŋ	baŋ	bjwaŋ	並三C陽平
泛	bjap⸗bjop	pʰ(r)[o]m-s		pʰjamh	pʰamh（fàn）	pʰamh⸗bap	pʷʰɑmᶜ	pʰams	pʰ(r)amh（fàn）		pʰǐwam	pʰoms⸗bob	pʰjwam	並三C凡入入⸗滂三C凡去
伐	bjat	m-pat	ba̠t	bjat	b[a]t（fá）	bat	bʷɑt	bat	b⁽ʱ⁾at（fá）	b⁽ʱ⁾at（fá）	bǐwat	bad	bjwat	並三C元入入
辟	bjek(s)⸗ɦp(j)ek⸗p⁽ʰ⁾jek	[b]ˤek⸗[N]-pek⸗pek	pi̠k⸗phi̠k⸗bi̠k	bjik⸗pjik	bˁɛk（bì）⸗bɛh（bì）⸗bɛk（bì）⸗pɛk（bì）⸗pʰɛk（pì）	pek⸗pʰek⸗bek	pjek⸗bjek⸗bek	pek⸗bek⸗bêk	bek（pì）	beh（bì）⸗pek（bì）⸗pʰek（pì）	bǐek⸗pǐek	peg⸗pʰeg⸗beg	bjiek⸗pjiek	並三A清入入⸗幫三A清入入⸗滂三A清入入
避	bjeks	[b]ek-s		bjigh	bɛh（bì）	bekh	bjeᶜ	bekh	beh（bì）		bǐe	begs	bjieɣ	並三A支去
敝	bjets	[b]e[t]-s	be̠s	pjiadh	bɛθ（bì）	beth	bjas	bets⸗bes	betɕ（bì）		bǐat	beds⸗bed	bjiwar	並三A祭去
飄	bjew		phɯ̠	bjiagʷ⸗pʰjiagʷ	bˁɛu（piāo）	pʰeu⸗beu	bjaw⸗pjaw⸗pʰjaw	bjaw⸗pjaw⸗pʰjaw		bew（piāo）	pʰǐau	pʰew⸗bew	bjiaw⸗pʰjiaw	滂三A宵平⸗並三A宵平
瓢	bjew	(Cə.)[b]ew	bɯ̠	bjiagʷ	bɛu（piáo）	beu	bjaw	bjaw			bǐau	bew	bjiaw	並三A宵平
摽	bjewʔ	[b]ewʔ⸗pʰˤrew⸗pʰˤew	phɯ̠⸗phɯ̠	pʰjiagʷ⸗bjiagʷx⸗pʰjiagʷh	pʰˁɛu（piāo）⸗pʰʴˁɛu（pāo）⸗bɛuʔ（biào）	pʰeu⸗pʰeuh⸗beuʔ	bjawᴮ⸗pʰjaw⸗pʰew⸗pʰɔw⸗pjaw	bjawʔ⸗pʰjaw⸗pʰjâw⸗pʰrjâw⸗pjaw	bhéw（biào）	b⁽ʱ⁾ewʔ（biào）	bǐau	pʰew⸗pʰews⸗bewʔ	pʰjiaw⸗bjiaw⸗pʰjiaw	並三A宵上⸗滂三A宵去⸗滂三A宵平
毗	bjij	[b]ij	bi̠r	bjid	bi（pí）	bi	bi	bi	b⁽ʱ⁾ij（pí）	b⁽ʱ⁾ij（pí）	bǐei	bi	bjier	並三A脂平
膍	bjij		bi̠r	bjid⸗bid		bˤi⸗bi	bi⸗bej	bi⸗bli⸗bî	b⁽ʱ⁾ij（pí）		biei	biː⸗bi	bjier⸗ber	並三A脂平⸗並四齊平
腓	bjɨj		bɯ̠r	bjəd⸗bjədh	b[ə]i（féi）	bəi⸗bəih	bʷi	bəj	bhəj（féi）	bʱəj（féi）	bǐwəi	bɯl⸗bɯls	bjiwər⸗bjwər	並三C微去⸗並三C微平
比	bjijs	C.pijʔ⸗pij-s	pi̠rʔ⸗bi̠rs	bjid⸗pjidx⸗bjidh⸗pjidx⸗bjit	bih（bì）⸗piʔ（bǐ）⸗pih（bì）	piʔ⸗pih⸗bi⸗bih⸗bit	piᴮ⸗piᶜ⸗biᶜ⸗bi	piʔ⸗pih⸗bih⸗bi	píj（bǐ）	bitɕ（bì）	bǐei⸗pǐei⸗bǐei	piʔ⸗pis⸗bi⸗bis⸗big	bjier⸗pjier⸗bjier⸗pjier⸗bjiet	並三A脂去⸗幫三A脂上⸗幫三A脂去⸗並三A脂平⸗並三A真入入
紕	bjijs		phi̠r	pʰjid	pʰi（pī）	tʰəʔ⏪䊼⸗pʰi⸗be	pʰiᴮ⸗pʰi⸗pʰje⸗pej⸗bje⸗biᶜ	pʰiʔ⸗pʰi⸗pʰe⸗pî⸗bih	b⁽ʱ⁾e（pí）	b⁽ʱ⁾itɕ（pī）	bǐei⸗pʰǐei	be⸗pʰi⸗kʰjɯʔ	pʰjier	並三A支平⸗昌開三之上⸗滂三A脂平
伏	bjɨk	[b]ək-s⸗[b]ək	be̠k	bjək	bəh（fú）⸗bək（fú）	bək⸗bəkh	buk⸗buᶜ	bək⸗bəkh	bək（fú）	bək（fú）	bǐwək	bɯgs⸗bɯg	bjwəɣ⸗bjwək	並三C東入入⸗並三C尤去
服	bjɨk	[b]ək⸗[b]əʔ	be̠k	bjək	bəʔ（fù）⸗bək（fú）⸗bək（fú）⸗bək（fú）	bək	buk⸗buᴮ	bək⸗bəʔ	bək（fú）	b⁽ʱ⁾ək（fú）		bɯg	bjwək	並三C東入入
頻	bjin	[b]i[n]⸗[m-p]i[n]		bjin	biŋ（pín）⸗biŋ（pín）	bin	bin	bin	bhin（pín）	bʱin（pín）	bǐen	bin	bjien	並三A真平
蘋	bjin		bi̠n	bjin	biŋ（pín）	bin	bin	bin	b⁽ʱ⁾in（pín）	b⁽ʱ⁾in（pín）	bǐen	bin	bjien	並三A真平
怭	bjit				bik（bì）	bit	bit	bit	b⁽ʱ⁾it（bì）	b⁽ʱ⁾it（bì）	bǐet	blig	bjiet	並三A真入入
鼻	bjit(s)	Cə-bi[t]-s⸗m-bi[t]-s		bjiədh	bih（bí）⸗bih（bí）	bih	bit⸗bis	bit⸗bits	bhitɕ（bí）		bǐei	blids	bjiwər	並三A脂去
婦	bjɨʔ	mə.bəʔ⸗tsə.bəʔ❓		bjəgx	bəʔ（fù）	bəʔ	buᴮ⸗bʷəᴮ	bəʔ	bə́（fù）	bəʔ（fù）	bǐwə	bɯʔ	bjwəɣ	並三C尤上
吠	bjots	Cə.bo[t]-s	bo̠s	bjadh	b[a]θ（fèi）	bath	bʷɑs	bas⸗bos⸗bats	batɕ（fèi）	batɕ（fèi）	bǐwat	bods	bjwar	並三C廢去
