	baxter1992	baxter-sagart	jinlixin	lifanggui	msoeg	msoegDK	schuesslerLHC	schuesslerOC	starostinLO	starostinTK	wangli	zhengzhang	zhoufagao	MC
鯇				gwranx		ɡrˤonʔ						ɦŋroːnʔ	grwan	匣合二刪上
矕				mranx		mrˤonʔ❓						mroːnʔ	mrwan	明二刪上
𪗙				ŋranx		ŋrˤanʔ							ŋran	疑開二刪上
㹽				tsʰranx									tsʰran	初開二刪上
眅				pʰranx								pʰraːn⸗pʰraːnʔ	pʰrwan	滂二刪上⸗滂二刪平
㹌				srianx		ŋ̊ranʔ							srian	生開二山上
滻				srianx		ŋ̊ranʔ						sŋreːnʔ	srian	生開二山上
䁂				grinx		ɡrˤinʔ							gren	匣開二山上
㹂				grinx		ɡrˤinʔ⸗ɡˤek							gren	匣開四先入入⸗匣開二山上⸗溪開三A仙上
𥇅				mrianx									mriwan	明二山上
𤄒				krianx									krian	見開二山上
鏟				tsʰrianx⸗tsʰranh		tsʰrˤanʔ					tʃʰean⸗tʃean	sŋ̥ʰreːnʔ⸗sŋ̥ʰraːns	tsʰrian⸗tsʰran	初開二刪去⸗初開二山上
羼				tsʰrianx⸗tsʰranh		tsʰrˤenʔ					tʃean	skʰreːnʔ⸗skʰraːns	tsʰrian	初開二刪去⸗初開二山上
嶘				dzrianx		dzranʔ						zreːnʔ	dzrian	崇開二山上
虥				dzrianx⸗dzranh		dzrˤanh⸗dzranʔ						zreːn⸗zreːn⸗zreːnʔ⸗zraːns	dzrian⸗dzran	崇開二刪去⸗崇開二山上⸗崇開二山平
醆				tsrianx		tsr[ˤe]nʔ	tʂɛnᴮ⸗tʂjan	tsrênʔ			tʃean	ʔsreːnʔ⸗ʔljenʔ	tsrian	章開三仙上⸗莊開二山上
銑				siənx		sˤənʔ	senᴮ	sə̂nʔ			siən	sɯːnʔ	seən	心開四先上
跣				siənx		sˤənʔ	senᴮ	sə̂nʔ			siən	sɯːnʔ	seən	心開四先上
燹				siənx		m̥rəih					siən	smanʔ⸗smlɯːnʔ⸗hmrɯls	seən	心開三仙上⸗心開四先上⸗曉合三B脂去
錪				tʰiənx⸗tiənx		tˤənʔ⸗tʰˤənʔ						tɯːnʔ⸗tʰɯːnʔ	tʰeən⸗teən	端開四先上⸗透開四先上
㥏				tʰiənx		tʰˤənʔ							tʰeən	透開四先上
琠				tʰiənx		tʰˤənʔ						tʰɯːnʔ	tʰeən	端開四先上⸗透開四先上
蕇				tianx								teːnʔ	tean	端開四先上
嬿				ʔianx⸗ʔianh		ʔˤenʔ⸗ʔˤenh					0ian	qeːnʔ⸗qeːns	ʔean⸗ʔean	影開四先上⸗影開四先去
𢆞				kianx		kˤenʔ							kean	見開四先上
垷				kianx⸗gianx		kˤenʔ⸗ɡˤenʔ						keːnʔ⸗geːnʔ	kean⸗gean	匣開四先上⸗見開四先上
襺				kianx		kˤenʔ	kenᴮ	kînʔ⸗kênʔ				keːnʔ	kean	見開四先上
蜆				gianx⸗hianx⸗kʰianh		kʰˤenh⸗ɡˤenʔ					ɣian	kʰeːns⸗qʰeːnʔ⸗geːnʔ	gean⸗xean⸗kʰean	匣開四先上⸗曉開四先上⸗溪開四先去
䵤				gianx		ɡˤenʔ							gean	匣開四先上⸗端開四先上
睍				gianx		ɡˤenʔ	genᴮ	gênʔ			ɣian	geːnʔ	gean	匣開四先上
韅				hianx		hˤenʔ	henᴮ	hênʔ				hŋeːnʔ	xean	曉開四先上⸗曉開四先去
丏				mianx		mˤenʔ	menᴮ	mênʔ				meːnʔ	mewan	明四先上
撚				nianx		nˤənʔ					nǐan	neːnʔ	nean	泥開四先上
泫				gwinx		wˤinʔ	ɣʷenᴮ	gʷînʔ			ɣiwen	gʷeːn	gwen	匣合四先上
鉉				gwinx		wˤinʔ	ɣʷenᴮ	gʷînʔ			ɣiwen	gʷeːn	gwen	匣合四先上
埍				gwianx⸗kwianx		kwˤenʔ⸗wˤenʔ						kʷeːnʔ⸗gʷeːnʔ	gewan⸗kewan	匣合四先上⸗見合四先上
繯				gwianx⸗gwranh		wˤenʔ⸗wrˤenh	ɣʷenᴮ⸗ɣʷanᶜ	gʷênʔ⸗wêns				gʷraːns⸗gʷeːnʔ	gewan⸗grwan	匣合二刪去⸗匣合四先上
䀏				gwinx		wˤinʔ⸗wˤinh	ɣʷen	wîn					gwen	匣合四先上⸗匣合四先去
𡿨				kwianx		kwˤinʔ							kewan	見合四先上
廯				sjanx		san⸗sanʔ						sen⸗senʔ	sjian	心開三仙上⸗心開三仙平
𧊔				grjanx		lanʔ							ɣrian	以開三仙上
諓				dzjanx⸗dzjanh		dzanʔ⸗dzanh	dzjanᴮ⸗dzjanᶜ	dzanʔ⸗dzans				zlenʔ⸗zlens	dzjian⸗dzjian	從開三仙上⸗從開三仙去
𧗸				dzjanx		dzanʔ							dzjian	從開三仙上
㣤				dzjanx		dzanʔ							dzjian	從開三仙上
㞡				trjanx		tranʔ								知開三仙上
㠭				trjanx		tranʔ							tian	知開三仙上
𧎰				trjanx		tranʔ							tian	知開三仙上
樿				tjanx			tɕanᴮ⸗dʑanᶜ	tanʔ⸗dans				tjanʔ	tjian	章開三仙上
𩕊				tjanx		t[a]nʔ							tjian	章開三仙上
䁴				tjanx⸗stʰjanx		tanʔ							tjian⸗stʰjian	書開三仙上⸗章開三仙上
𨭖				tjanx		tanʔ							tjian	章開三仙上
嫸				tjanx		t[a]nʔ						tjenʔ	tjian	章開三仙上
𨋚				nrjanx		nranʔ							nian	孃開三仙上
㞋				nrjanx		nonʔ⸗nranʔ	ɳjanᴮ	nranʔ					nian	孃開三仙上⸗日合三仙上
闡				tʰjanx		tʰanʔ	tɕanᴮ	tʰanʔ			ȶʰǐan	tʰjanʔ	tʰjian	昌開三仙上
𠳋				kʰjianx		kʰenʔ							kʰjian	溪開三A仙上
搴				kjianx		kranʔ	kɨ̯anᴮ	kranʔ⸗krjanʔ			kǐan	kranʔ⸗kʰran	kian	見開三B仙上
攓				kjianx			kɨ̯ɑnᴮ	kanʔ					kian	
藆				kjianx		kranʔ						kranʔ	kian	見開三B仙上
鱓				djanx		danʔ❓	dɑj⸗dɑn	dâj⸗dân				djanʔ	djian	常開三仙上
蟺				djanx		danʔ	dʑanᴮ	danʔ				djanʔ	djian	常開三仙上
僐				djanx⸗djanh		d[a]nʔ⸗d[a]nh					ʑǐan	djenʔ⸗djens	djian⸗djian	常開三仙上⸗常開三仙去
鄯				djanx⸗djanh		d[a]nʔ⸗d[a]nh	dʑanᶜ	dans			ʑǐan	djenʔ⸗djens	djian⸗djian	常開三仙上⸗常開三仙去
剪				tsjanx		tsenʔ	tsjanᴮ	tsenʔ			tsǐan	ʔslenʔ	tsjian	精開三仙上
揃				tsjanx		tsenʔ	tsjanᴮ	tsenʔ				ʔslenʔ	tsjian	精開三仙上
𦺍				tsjanx		tsenʔ							tsjian	精開三仙上
𦆀				rjanx		slanʔ					zǐan		rjian	昌開三仙上⸗邪開三仙上
鄻				ljanx		ranʔ						renʔ	lian	來開三仙上
𡾰				gjianx		kranʔ								羣開三B仙上⸗見開三B仙上
鑳				gjianx								granʔ		羣開三B仙上
緬				mjianx		menʔ	mjanᴮ	menʔ			mǐan	menʔ	mjiwan	明三A仙上
愐				mjianx		menʔ					mǐan	menʔ	mjiwan	明三A仙上
𩋠				mjianx		menʔ							mjiwan	明三A仙上
偭				mjianx⸗mjianh		menʔ⸗menh	mjanᴮ	menʔ				menʔ⸗mens	mjiwan⸗mjiwan	明三A仙上⸗明三A仙去
褊				pjianx		penʔ	pjanᴮ	penʔ			pǐen	penʔ	pjiwan	幫三A仙上
臇				tsjuanx		tsonʔ⸗tsoi	tsɥanᴮ	tsonʔ			tsǐwan	ʔsol⸗ʔsonʔ	tsjiwan	精合三仙上⸗精合三支平
𧕲				tsjuanx									tsjiwan	
雋				dzjuanx		dzonʔ					dzǐwan	zonʔ	dzjiwan	從合三仙上
䁵				pjianx									piwan	幫三B仙上
沇				ruanx		lonʔ	jɥanᴮ	jonʔ				lonʔ	riwan	以合三仙上
𡡗				ljuanx									liwan	來合三仙上
韏				kwjianx⸗gwjianh		kronʔ⸗kʰonh⸗ɡronh						kronʔ⸗grons⸗kʰons	kiwan⸗giwan	溪合三C元去⸗羣合三B仙去⸗見合三B仙上
𨹵				kwjianx		kronʔ							kiwan	見合三B仙上
蔨				gwjianx		ɡronʔ⸗ɡrunʔ						gronʔ⸗grunʔ	giwan	羣合三B仙上⸗羣合三B真上
蝡				njuanx		nonʔ⸗nunʔ	ȵʷanᴮ	nonʔ				njonʔ⸗njunʔ	njiwan	日合三仙上
䓴				njuanx		nonʔ							njiwan	日合三仙上
碝				njuanx		nonʔ						njonʔ	njiwan	日合三仙上
耎				njuanx		nonʔ	ȵʷanᴮ	nonʔ				njonʔ	njiwan	日合三仙上
𠭼				njuanx										
緛				njuanx		nonʔ						njonʔ	njiwan	日合三仙上
腨				djuanx		donʔ						djonʔ	djiwan	常合三仙上
𡭐				djuanx									djiwan	常合三仙上
篆				drjuanx		lronʔ	ɖɥanᴮ	dronʔ			dǐwan	l'onʔ	diwan	澄合三仙上
瑑				drjuanx		lronʔ	ɖɥanᴮ	dronʔ				l'onʔ	diwan	澄合三仙上
𦁆				drjuanx⸗drjuanh		dronʔ⸗dronh							diwan⸗diwan	澄合三仙上⸗澄合三仙去
䧘				drjuanx		lronʔ							diwan	澄合三仙上
𦓚				tjuanx									tjiwan	
𦌔				sjuanx⸗sjuanh		sonʔ⸗sonh							sjiwan⸗sjiwan	心合三仙上⸗心合三仙去⸗生開二刪去
鮸				mjianx		mranʔ						mronʔ	miwan	明三B仙上
𣃘				tʰrjanx									tʰian	徹開三仙上⸗澄二江平⸗知開三蒸平
蕆				tʰrjanx			ʈʰjanᴮ	tʰranʔ			tʰǐan	tʰanʔ	tʰian	徹開三仙上
㒄				hnjanx		n̥anʔ⸗nanʔ					ɕǐan		stʰjian	日開三仙上⸗書開三仙上
筱				siəgʷx		ɬˤiuʔ					siu	slɯːwʔ	seəw	心開四蕭上
璬				kiagʷx		kˤeuʔ						kleːwʔ	keaw	見開四蕭上
䥵				kiagʷx⸗hiagʷx		[h]ˤeuʔ❓							keaw⸗xeaw	曉開四蕭上⸗見開四蕭上
恔				kiagʷx		kˤeuʔ	gawᶜ	grâwh				keːwʔ	keaw	見開四蕭上
𨶪				kiəgʷx									keəw	來三尤平⸗見開四蕭上
䄪				tiagʷx		tˤeuʔ							teaw	端開四蕭上
了				liagʷx		rˤeuʔ	lewᴮ				liau	reːwʔ	leaw	來開四蕭上
鄝				gliəgʷx		rˤiuʔ						rɯːwʔ	leəw	來開四蕭上
爒				liagʷx		rˤeuʔ⸗r[a]uʔ						rewʔ⸗reːwʔ	leaw	來開三宵上⸗來開四蕭上
窱				tʰiəgʷx		l̥ˤiuʔ⸗l̥ˤiuh						ʔl'ɯːwʔ⸗l̥ʰɯːws	tʰeəw	透開四蕭上⸗透開四蕭去
皢				hiagʷx		[h]ˤeuʔ❓						hŋeːwʔ	xeaw	曉開四蕭上
窅				ʔiagʷx		ʔˤeuʔ	ʔewᴮ	ʔjûʔ			0iau	ʔmreːw⸗ʔmeːwʔ	ʔeaw	影開四蕭上⸗影開二肴平
㫏				ʔiagʷx		ʔˤeuʔ							ʔeaw	影開四蕭上
鴢				ʔiəgʷx⸗ʔrəgʷx		ʔˤiuʔ⸗ʔrˤiuʔ						qrɯːwʔ⸗qɯːwʔ	ʔeəw⸗ʔrəw	影開二肴上⸗影開四蕭上
䆞				ʔiagʷx⸗ʔiagʷh		ʔˤeuʔ							ʔeaw⸗ʔeaw	影開四蕭上⸗影開四蕭去
𡧮				ʔiagʷx		ʔˤeuʔ							ʔeaw	影開四蕭上⸗影開四蕭平
嫋				niagʷx			newᴮ	njâwʔ			niau	neːwʔ	neaw	泥開四蕭上
嬈				niagʷx⸗ŋrjagʷx⸗hiagʷh		nˤeuʔ⸗ŋeuʔ					niau⸗ȵǐau	njewʔ⸗neːwʔ⸗hŋeːws	neaw⸗njiaw⸗xeaw	日開三宵上⸗曉開四蕭去⸗泥開四蕭上
皛				giagʷx		pʰrˤak					ɣiau	pʰraːg⸗geːwʔ	geaw	匣開四蕭上⸗滂二庚入入
誂				diagʷx		lˤeuʔ	dewᴮ	ljâwʔ				l'eːwʔ	deaw	定開四蕭上
掉				diagʷx⸗nrakʷ			dewᴮ⸗dewᶜ⸗ɳɔk	djâwʔ⸗djâwh⸗nrâwk			diau	deːwʔ⸗deːwɢs⸗rneːwɢ	deaw⸗deaw⸗nrawk	孃二江入入⸗定開四蕭上⸗定開四蕭去
㭂				tsiagʷx		tsˤeuʔ							tseaw	精開四蕭上
肈				drjagʷx		lr[a]uʔ							diaw	澄開三宵上
肁				drjagʷx		lr[a]uʔ						dawʔ	diaw	澄開三宵上
狣				drjagʷx		lr[a]uʔ						l'ewʔ		澄開三宵上
駣				drjagʷx		lˤau⸗lr[a]uʔ	dɑw⸗dɑwᴮ	lâw⸗lâwʔ				l'aːw⸗l'aːwʔ⸗l'aːws⸗l'ewʔ	daw⸗diaw⸗daw	定開一豪上⸗定開一豪平⸗澄開三宵上
垗				drjagʷx		lr[a]uʔ	ɖjɑwᴮ	drawʔ⸗r-lawʔ				l'ewʔ	diaw	澄開三宵上
菬				tjagʷx		t[a]uʔ						sdew⸗tjewʔ	tjiaw	從開三宵平⸗章開三宵上
𨙹				stʰjagʷx⸗tsjagʷx		steuʔ							stʰjiaw⸗tsjiaw	書開三宵上⸗精開三宵上
擾				njəgʷx			ȵɑwᴮ	nawʔ			ȵǐu	njiwʔ	njiaw	日開三宵上
𢹎				njəgʷx										日開三宵上
𤛾				njəgʷx										日開三宵上
膘				bjagʷx		pʰeuʔ⸗beuʔ						prew⸗pʰewʔ⸗bewʔ⸗spewʔ	bjiaw	滂三A宵上⸗並三A宵上⸗精開三宵上
秒				mjiagʷx		meuʔ					mǐau	mewʔ	mjiaw	明三A宵上
篎				mjiagʷx⸗mjiagʷh		meuʔ⸗meuh						mewʔ⸗mews	mjiaw⸗mjiaw	明三A宵上⸗明三A宵去
袑				djagʷx		d[a]uʔ						djewʔ	djiaw	常開三宵上
敽				kjagʷx		kauʔ						krewʔ	kiaw	見開三B宵上
譑				kjagʷx		kauʔ⸗kʰrauh	kɨ̯ɑwᴮ	kawʔ				krewʔ⸗kʰews	kiaw	溪開三B宵去⸗見開三B宵上
𧢄				pjiagʷx		peuʔ							pjiaw	幫三A宵上
殍				bjagʷx		breuʔ⏪𣧶⸗bruʔ⏪𣧶	bɨ̯ɑwᴮ⸗pʰu	bawʔ⸗pʰu			bǐu	brɯwʔ⸗browʔ⸗pʰuw	pʰjew⸗biaw	並三B宵上⸗並三B脂上⸗滂三C虞平
莩				bjagʷx		pʰ(r)u⸗breuʔ⏪𦭼	pʰu	pʰu			pʰǐu⸗bǐu	browʔ⸗pʰuw	pʰjwəw⸗biaw	並三B宵上⸗滂三C虞平
𠟯				tsjagʷx									tsjiaw	精開三宵上
𤃭				tsjagʷx									tsjiaw	精開三宵上
