# Database that maps pinyin readings to their closest Tshet'hyun (Qieyun) equivalents.
# Pinyin readings tabulated from CEDict. Tshet'hyun (Qieyun) phonetic glosses sourced from multiple databases; syntax follows earlier versions of nk2028.
# No tone: Standard Mandarin unpredictable (入); 
# not to be confused with syllables with neutral tone ('Tone 5'), which are not assigned expected_readings.
# character counts are from CC-CEDICT (https://www.mdbg.net/chinese/dictionary?page=cedict). CEDICT is licensed under a Creative Commons Attribution-ShareAlike 4.0 International License.
character	attested_reading	expected_reading	QY	singchar_ count	multchar_ count	char_total_count
定	ding4		定開青去; 端開青去	1	426	427
州	zhou1		章尤平	1	424	425
神	shen2		船開眞平	2	421	425
神	shen5			0	2	425
東	dong1		端一東平	2	421	423
族	zu2		從一東入	1	420	421
阿	a1	e1	影開一歌平	2	400	419
阿	e1		影開一歌平	1	16	419
外	wai4	wei4	疑合泰去	1	415	416
義	yi4		疑開B支去	2	413	416
義	yi5			0	1	416
光	guang1		見合唐平	1	412	413
可	ke3		溪開一歌上	1	410	413
可	ke4	ke3	溪開一歌上	1	1	413
眼	yan3		疑開山上	1	409	411
眼	yan5			0	1	411
羅	luo2		來開一歌平	2	396	411
羅	luo1	luo2	來開一歌平	0	11	411
羅	luo5			0	2	411
面	mian4		明A仙去	1	409	411
面	mian5			0	1	411
明	ming2		明三庚平	2	394	408
明	ming5			0	12	408
紅	hong2		匣一東平	2	402	405
紅	gong1	hong2	匣一東平	0	1	405
病	bing4		並三庚去	1	398	401
病	bing5			0	2	401
陽	yang2		以開陽平	1	397	399
陽	yang5			0	1	399
空	kong1		溪一東平	1	360	398
空	kong4		溪一東去	1	36	398
相	xiang1		心開陽平	2	266	397
相	xiang4		心開陽去	1	128	397
里	li3		來之上	2	390	396
里	li5			0	4	396
民	min2		明A眞平	2	389	391
線	xian4		心開仙去	1	390	391
重	zhong4		澄鍾上; 澄鍾去	1	231	391
重	chong2		澄鍾平	1	158	391
點	dian3		端添上	1	389	391
點	dian5			0	1	391
方	fang1		幫陽平	2	380	389
方	fang5			0	7	389
流	liu2		來尤平	1	388	389
江	jiang1		見江平	2	386	388
黃	huang2		匣合唐平	2	385	387
加	jia1		見開二麻平	2	382	384
林	lin2		來侵平	2	378	380
作	zuo4		精開一歌去	1	371	378
作	zuo1	zuo	精開唐入	1	2	378
作	zuo5			0	2	378
作	zuo2	zuo	精開唐入	0	1	378
色	se4	she	生開蒸入	1	366	378
色	shai3	she	生開蒸入	1	10	378
路	lu4		來模去	2	375	378
路	lu5			0	1	378
老	lao3		來豪上	1	375	377
老	lao5			0	1	377
河	he2		匣開一歌平	1	375	376
經	jing1		見開青平	2	372	374
名	ming2		明清平	1	369	370
龍	long2		來鍾平	2	365	367
本	ben3		幫魂上	1	364	365
字	zi4		從之去	1	361	364
字	zi5			0	2	364
得	de2	de	端開登入	1	251	364
得	de5			1	103	364
得	dei3	de	端開登入	1	6	364
得	de4	de	端開登入	0	1	364
火	huo3		曉合一歌上	2	361	364
火	huo5			0	1	364
鄉	xiang1		曉開陽平	1	361	362
來	lai2		來咍平	1	339	360
來	lai5			0	20	360
用	yong4		以鍾去	1	354	356
用	yong5			0	1	356
音	yin1		影B侵平	1	354	356
音	yin5			0	1	356
年	nian2		泥開先平	2	349	351
意	yi4		影之去	2	341	351
意	yi5			0	8	351
北	bei3	bo	幫登入	1	349	350
治	zhi4		澄之去; 澄開脂去	1	348	349
美	mei3	mi3	明B脂上	2	345	348
美	mai3	mi3	明B脂上	0	1	348
二	er4		日開脂去	1	345	347
二	er2	er4	日開脂去	0	1	347
書	shu1		書魚平	2	345	347
交	jiao1		見肴平	1	345	346
科	ke1	kuo1	溪合一歌平	1	342	343
業	ye4		疑嚴入	2	338	340
後	hou4		匣侯上; 匣侯去	1	336	337
黑	hei1	he	曉開登入	2	334	336
同	tong2		定一東平	1	327	335
同	tong5			0	5	335
同	tong4	tong2	定一東平	0	2	335
布	bu4		幫模去	1	333	335
布	bu3	bu4	幫模去	0	1	335
情	qing2		從開清平	1	328	335
情	qing5			0	6	335
木	mu4		明一東入	2	333	335
言	yan2		疑開元平	1	333	334
基	ji1		見之平	1	331	332
管	guan3		見合寒上	2	330	332
和	he2	huo2	匣合一歌平	2	306	331
和	he4	huo4	匣合一歌去	1	7	331
和	huo5			0	6	331
和	huo4		匣合一歌去	1	3	331
和	huo2		匣合一歌平	1	2	331
和	hu2	huo2	匣合一歌平	1	1	331
報	bao4		幫豪去	1	330	331
星	xing1		心開青平	1	325	329
星	xing5			0	3	329
格	ge2	ge	見開二庚入; 見開唐入	1	324	326
格	ge5			0	1	326
前	qian2		從開先平	1	321	323
前	qian5			0	1	323
反	fan3		幫元上	1	319	320
尼	ni2		孃開脂平	1	319	320
正	zheng4		章開清去	1	312	320
正	zheng1		章開清平	1	6	320
對	dui4		端灰去	1	317	318
然	ran2		日開仙平	1	312	313
樂	le4	luo4	來開唐入	2	208	312
樂	yue4		疑江入	2	98	312
樂	lao4	luo4	來開唐入	0	2	312
清	qing1		清開清平	2	310	312
轉	zhuan3		知合仙上	1	234	310
轉	zhuan4		知合仙去	1	71	310
轉	zhuai3	zhuan3	知合仙上	1	1	310
轉	zhuan5			0	1	310
場	chang3	chang2	澄開陽平	1	291	309
場	chang2		澄開陽平	1	14	309
場	chang5			0	2	309
過	guo4		見合一歌去	2	304	309
過	guo5			1	2	309
身	shen1		書開眞平	1	306	308
身	sheng1	shen1	書開眞平	0	1	308
角	jiao3	jue	見江入	1	279	307
角	jue2	jue	見江入	2	25	307
世	shi4		書開祭去	2	303	305
蘭	lan2		來開寒平	2	301	303
傳	chuan2		澄合仙平	1	256	302
傳	zhuan4		知合仙去; 澄合仙去	1	44	302
全	quan2		從合仙平	2	300	302
度	du4		定模去	1	290	302
度	duo2		定開唐入	1	9	302
度	du5			0	1	302
關	guan1		見合刪平	2	296	298
信	xin4		心開眞去	1	296	297
量	liang4		來開陽去	1	243	297
量	liang2		來開陽平	1	34	297
量	liang5			0	18	297
古	gu3		見模上	2	294	296
皮	pi2		並B支平	2	291	295
皮	pi5			0	2	295
死	si3		心開脂上	1	293	294
達	da2		定開寒入	2	291	294
達	da5			0	1	294
戰	zhan4		章開仙去	1	292	293
教	jiao4		見肴去	2	283	293
教	jiao1		見肴平	1	7	293
代	dai4		定咍去	1	291	292
如	ru2		日魚平	1	290	292
如	ru4		日魚去	0	1	292
魚	yu2		疑魚平	2	290	292
球	qiu2		羣尤平	1	289	290
網	wang3		明陽上	1	289	290
員	yuan2		云合仙平	1	287	288
好	hao3		曉豪上	1	233	288
好	hao4		曉豪去	1	52	288
好	hao1	hao3	曉豪上	0	1	288
卡	ka3	qia3	溪開二麻上	1	276	287
卡	qia3		溪開二麻上	1	9	287
比	bi3		幫A脂上	2	277	287
比	bi4		並A脂去; 幫A脂去	1	5	287
比	bi1	pi2	並A脂平	1	1	287
軍	jun1		見文平	1	285	286
運	yun4		云文去	1	285	286
單	dan1		端開寒平	1	279	283
單	shan4		常開仙上; 常開仙去	1	1	283
單	chan2		常開仙平	0	1	283
內	nei4		泥灰去	1	280	282
內	nei5			0	1	282
詞	ci2	si2	邪之平	1	281	282
原	yuan2		疑合元平	2	279	281
為	wei2		云合支平	1	252	281
為	wei4	wei2	云合支平	1	26	281
為	wei5			0	1	281
聲	sheng1		書開清平	1	279	281
聲	sheng5			0	1	281
保	bao3		幫豪上	2	278	280
節	jie2	jie	精開先入	1	272	278
節	jie1	jie	精開先入	1	3	278
節	jie5			0	1	278
而	er2		日之平	1	277	278
起	qi3		溪之上	1	272	277
起	qi5			0	4	277
變	bian4		幫B仙去	1	275	276
女	nü3		孃魚上	1	273	275
		現_6				
女	ru3		日魚上	1	0	275
以	yi3		以之上	2	272	274
見	jian4		見開先去	1	269	274
見	xian4		匣開先去	1	1	274
見	jian1	jian4	見開先去	0	1	274
見	jian5			0	1	274
血	xue4	xue	曉合先入	1	262	273
血	xie3	xue	曉合先入	0	8	273
血	xue3	xue	曉合先入	0	2	273
式	shi4	shi	書開蒸入	1	266	271
式	shi5			0	4	271
波	bo1		幫一歌平	2	267	269
士	shi4	zhi4	崇之上	2	265	268
士	shi5			0	1	268
土	tu3		透模上	2	265	267
回	hui2		匣灰平	1	265	266
應	ying4		影開蒸去	2	222	265
應	ying1		影開蒸平	1	38	265
應	ying5			0	2	265
王	wang2		云合陽平	2	260	265
王	wang5			0	2	265
王	wang4		云合陽去	1	0	265
解	jie3	jia3	見開佳上	1	254	265
解	xie4	xia4	匣開佳上; 匣開佳去	2	4	265
解	jie4	jia4	見開佳去	1	3	265
知	zhi1		知開支平	1	263	264
目	mu4		明三東入	1	260	263
目	mu5			0	2	263
華	hua2		匣合二麻平	2	243	263
華	hua4		匣合二麻去	1	15	263
華	hua1		曉合二麻平	1	1	263
四	si4		心開脂去	1	261	262
尾	wei3		明微上	1	259	262
尾	yi3	wei3	明微上	1	1	262
形	xing2		匣開青平	1	260	262
形	xing5			0	1	262
實	shi2		船開眞入	1	245	261
實	shi5			0	15	261
月	yue4		疑合元入	1	260	261
油	you2		以尤平	1	260	261
包	bao1		幫肴平	2	257	260
包	bao5			0	1	260
嘴	zui3		精合支上	1	258	259
百	bai3	bo	幫二庚入	2	256	259
百	bo4	bo	幫二庚入	0	1	259
草	cao3		清豪上	1	257	259
草	cao4			1	0	259
太	tai4		透開泰去	1	253	258
太	tai5			0	4	258
武	wu3		明虞上	2	256	258
夫	fu1		幫虞平	1	219	255
夫	fu5			0	34	255
夫	fu2		並虞平	1	0	255
酒	jiu3		精尤上	1	253	254
鳥	niao3	diao3	端蕭上	1	251	254
鳥	diao3		端蕭上	1	1	254
政	zheng4		章開清去	1	251	252
說	shuo1	shuo	書合仙入	1	244	252
說	shui4		書合祭去	1	5	252
說	shuo5			0	1	252
島	dao3		端豪上	1	250	251
青	qing1		清開青平	2	249	251
放	fang4		幫陽去	1	249	250
調	diao4		定蕭去	1	134	250
調	tiao2		定蕭平	1	114	250
熱	re4		日開仙入	1	248	249
酸	suan1		心合寒平	1	248	249
入	ru4	ri4	日侵入	1	247	248
沙	sha1		生開二麻平	2	246	248
當	dang1		端開唐平	1	179	248
當	dang4		端開唐去	1	63	248
當	dang5			0	4	248
納	na4		泥覃入	2	246	248
連	lian2		來開仙平	2	245	248
連	lian5			0	1	248
半	ban4		幫寒去	1	245	247
半	ban5			0	1	247
期	qi1	qi2	羣之平	1	246	247
聯	lian2		來開仙平	1	245	246
號	hao4		匣豪去	1	232	246
號	hao2		匣豪平	1	9	246
號	hao5			0	3	246
難	nan2		泥開寒平	1	177	246
難	nan4		泥開寒去	1	64	246
難	nan5			0	3	246
香	xiang1		曉開陽平	1	245	246
間	jian1		見開山平	1	211	245
間	jian4		見開山去	1	31	245
間	gan1	jian1	見開山平	0	1	245
能	neng2		泥開登平	2	242	244
萬	wan4		明元去	2	242	244
產	chan3	shan3	生開山上	1	241	242
結	jie2	jie	見開先入	1	229	242
結	jie1	jie	見開先入	1	10	242
結	jie5			0	1	242
五	wu3		疑模上	1	240	241
話	hua4	huai4	匣合夬去	1	240	241
板	ban3		幫刪上	1	239	240
失	shi1	shi	書開眞入	1	236	239
失	shi5			0	2	239
毒	du2		定冬入	1	238	239
素	su4		心模去	1	237	238
八	ba1	ba	幫山入	1	236	237
米	mi3		明齊上	2	231	235
米	mi5			0	2	235
品	pin3		滂B侵上	1	233	234
立	li4		來侵入	2	232	234
進	jin4		精開眞去	1	233	234
帶	dai4		端開泰去	1	232	233
維	wei2		以合脂平	2	229	233
維	wei5			0	2	233
腳	jiao3	jue	見開陽入	1	229	232
腳	jue2			1	0	232
腳	jiao5			0	1	232
計	ji4		見開齊去	2	227	232
計	ji5			0	3	232
圖	tu2		定模平	1	230	231
位	wei4		云合脂去	1	229	230
寧	ning2		泥開青平	2	210	230
寧	ning4	ning2	泥開青平	1	17	230
落	luo4		來開唐入	1	210	229
落	lao4	luo4	來開唐入	1	9	229
落	luo5			0	5	229
落	la4	luo4	來開唐入	1	2	229
部	bu4		並模上	1	228	229
食	shi2		船開蒸入	1	223	229
食	shi5			0	4	229
食	si4		邪之去	1	0	229
集	ji2		從侵入	1	226	227
權	quan2		羣合B仙平	2	224	226
精	jing1		精開清平	1	224	226
精	jing5			0	1	226
所	suo3	shu3	生魚上	1	224	225
雀	que4	jue	精開陽入	1	219	225
雀	qiao3	jue	精開陽入	0	3	225
雀	qiao1	jue	精開陽入	1	1	225
表	biao3		幫B宵上	1	223	224
骨	gu3	gu	見魂入	1	218	223
骨	gu5			0	3	223
骨	gu1	gu	見魂入	0	1	223
制	zhi4		章開祭去	1	221	222
核	he2		匣開耕入	1	219	222
核	hu2	he2	匣開耕入	0	1	222
核	he1	he2	匣開耕入	0	1	222
命	ming4		明三庚去	1	220	221
商	shang1		書開陽平	2	217	219
愛	ai4		影咍去	1	217	219
愛	ai5			0	1	219
論	lun4		來魂去	1	215	219
論	lun2		來魂平; 來合眞平	1	2	219
雞	ji1		見開齊平	1	218	219
非	fei1		幫微平	2	217	219
活	huo2		匣合寒入	1	214	218
活	huo5			0	3	218
著	zhe5			1	72	217
著	zhuo2		澄開陽入	1	55	217
著	zhao2	zhuo	知開陽入	1	45	217
著	zhu4		知魚去	1	32	217
著	zhao1	zhuo	知開陽入	1	8	217
約	yue1	yue	影開陽入	1	210	216
約	yao1	yao4	影A宵去	1	3	216
約	yue4	yue	影開陽入	0	1	216
射	she4		船開三麻去	1	214	215
邊	bian1		幫先平	1	192	215
邊	bian5			1	21	215
官	guan1		見合寒平	2	212	214
哈	ha1	he	曉覃入	2	193	213
哈	ha3	he	曉覃入	1	14	213
哈	ha5			0	2	213
哈	ha4	he	曉覃入	0	1	213
普	pu3		滂模上	1	211	212
毛	mao2		明豪平	2	204	212
毛	mao5			0	6	212
塔	ta3	ta	透談入	1	209	210
雙	shuang1		生江平	2	207	210
雙	huang1	shuang1	生江平	0	1	210
牛	niu2	you2	疑尤平	2	204	206
院	yuan4		云合仙去	1	205	206
指	zhi3		章開脂上	1	203	205
指	zhi5			0	1	205
鐵	tie3	tie	透開先入	2	201	205
鐵	tie5			0	2	205
肉	rou4	ru4	日三東入	1	203	204
視	shi4		常開脂去; 常開脂上	1	203	204
元	yuan2		疑合元平	2	201	203
十	shi2		常侵入	1	202	203
密	mi4		明B眞入	2	197	203
密	mi5			0	4	203
提	ti2		定開齊平	1	198	203
提	di1	shi2	常開支平	0	4	203
朝	chao2		澄宵平	2	150	203
朝	zhao1		知宵平	1	50	203
鎮	zhen4		知開眞去	1	202	203
司	si1		心之平	2	196	202
司	si5			0	4	202
收	shou1		書尤平	1	201	202
滿	man3		明寒上	2	200	202
菜	cai4		清咍去	1	201	202
處	chu4		昌魚去	1	103	202
處	chu3		昌魚上	1	88	202
處	chu5			0	9	202
接	jie1	jie	精鹽入	1	199	200
標	biao1		幫A宵平	1	199	200
樹	shu4		常虞上; 常虞去	1	199	200
在	zai4		從咍上; 從咍去	1	190	199
在	zai5			0	8	199
洋	yang2		以開陽平	1	196	199
洋	yang1	xiang2	邪開陽平	0	2	199
走	zou3		精侯上	1	198	199
源	yuan2		疑合元平	1	197	198
漢	han4		曉開寒去	2	196	198
臺	tai2		定咍平	2	196	198
質	zhi4		知開脂去	1	197	198
務	wu4		明虞去	1	189	197
務	wu5			0	7	197
足	zu2	zu	精鍾入	1	195	197
足	ju4		精虞去	1	0	197
直	zhi2		澄開蒸入	2	194	196
條	tiao2		定蕭平	1	193	195
條	tiao5			0	1	195
程	cheng2		澄開清平	2	193	195
遠	yuan3		云合元上	1	191	194
遠	yuan4		云合元去	1	1	194
座	zuo4		從合一歌去	1	192	193
彈	dan4		定開寒去	1	133	193
彈	tan2		定開寒平	1	56	193
彈	tan5			0	2	193
界	jie4		見開皆去	1	191	193
界	ga4	jie4	見開皆去	0	1	193
福	fu2	fu	幫三東入	2	191	193
興	xing1		曉開蒸平	2	159	193
興	xing4		曉開蒸去	1	31	193
症	zheng4		章開清去	1	190	191
層	ceng2		從開登平	1	189	190
曲	qu1	qu	溪鍾入	2	97	190
曲	qu3	qu	溪鍾入	1	90	190
裝	zhuang1		莊開陽平	1	188	190
裝	zhuang5			0	1	190
雲	yun2		云文平	2	188	190
強	qiang2		羣開陽平	2	156	189
強	qiang3	qiang2	羣開陽平	1	26	189
強	jiang4	qiang2	羣開陽平	1	3	189
盤	pan2		並寒平	1	188	189
統	tong3	tong4	透冬去	1	188	189
資	zi1		精開脂平	1	188	189
環	huan2		匣合刪平	2	185	188
環	huan5			0	1	188
藥	yao4	yue4	以開陽入	1	182	188
藥	yao5			0	5	188
吉	ji2	ji	見開A眞入	2	185	187
廣	guang3		見合唐上	2	185	187
記	ji4		見之去	1	181	187
記	ji5			0	5	187
倒	dao3		端豪上	1	112	186
倒	dao4		端豪去	1	72	186
客	ke4	ke	溪開二庚入	1	185	186
伯	bo2	bo	幫二庚入	1	177	185
伯	bo5			0	2	185
伯	ba4	bo	幫二庚入	1	1	185
伯	bai3	bo	幫二庚入	1	1	185
伯	bai5			0	1	185
聖	sheng4		書開清去	1	184	185
證	zheng4		章開蒸去	1	184	185
共	gong4	jiong4	羣鍾去	1	183	184
劑	ji4		從開齊去	1	183	184
服	fu2		並三東入	1	174	184
服	fu5			0	7	184
服	fu4	fu2	並三東入	1	1	184
片	pian4		滂先去	1	174	184
片	pian1	pian4	滂先去	1	8	184
苦	ku3		溪模上	1	183	184
果	guo3		見合一歌上	1	182	183
田	tian2		定開先平	2	181	183
步	bu4		並模去	2	180	182
