# Database that maps pinyin readings to their closest Tshet'hyun (Qieyun) equivalents.
# Pinyin readings tabulated from CEDict. Tshet'hyun (Qieyun) phonetic glosses sourced from multiple databases; syntax follows earlier versions of nk2028.
# No tone: Standard Mandarin unpredictable (入); 
# not to be confused with syllables with neutral tone ('Tone 5'), which are not assigned expected_readings.
# character counts are from CC-CEDICT (https://www.mdbg.net/chinese/dictionary?page=cedict). CEDICT is licensed under a Creative Commons Attribution-ShareAlike 4.0 International License.
character	attested_reading	expected_reading	QY	singchar_ count	multchar_ count	char_total_count
穴	xue2		匣合先入	1	39	40
紐	niu3		孃尤上	1	39	40
罵	ma4		明二麻去	1	38	40
罵	ma5			0	1	40
薪	xin1		心開眞平	1	39	40
衰	shuai1		生合脂平	1	38	40
衰	cui1			1	0	40
覽	lan3		來談上	1	39	40
貸	dai4	tai4	透咍去	1	39	40
距	ju4		羣魚上	1	39	40
遇	yu4		疑虞去	2	38	40
遜	xun4	sun4	心魂去	1	39	40
凸	tu1	du2	定魂入	1	38	39
割	ge1	ge	見開寒入	1	37	39
割	gua4	ge	見開寒入	0	1	39
勇	yong3		以鍾上	1	38	39
培	pei2		並灰平	1	37	39
培	bei4	bou4	並侯上	0	1	39
塘	tang2		定開唐平	1	38	39
墓	mu4		明模去	1	38	39
媽	ma1	ma2	明二麻平	1	36	39
媽	ma5			0	2	39
孟	meng4		明二庚去	2	37	39
宇	yu3		云虞上	1	38	39
宋	song4		心冬去	1	38	39
屍	shi1		書開脂平	1	37	39
屍	shi3	shi4	書開脂去	0	1	39
屯	tun2		定魂平	1	35	39
屯	zhun1		知合眞平	1	2	39
幽	you1		影幽平	1	38	39
徐	xu2		邪魚平	2	37	39
捲	juan3		見合B仙上	1	37	39
捲	juan4		見合B仙去	0	1	39
撫	fu3		滂虞上	1	38	39
擔	dan1		端談平	1	29	39
擔	dan4		端談去	1	6	39
擔	dan5			0	2	39
擾	rao3		日宵上	1	38	39
煤	mei2		明灰平	1	38	39
猴	hou2		匣侯平	1	38	39
盲	mang2	meng2	明二庚平	1	37	39
盲	mang5			0	1	39
稀	xi1		曉開微平	1	38	39
筒	tong3	tong2	定一東平	1	37	39
筒	tong5			0	1	39
籠	long2		來一東平; 來鍾平	1	34	39
籠	long3		來一東上	1	3	39
胺	an4		影開寒去	1	38	39
舍	she4		書開三麻去	2	34	39
舍	she3		書開三麻上	1	2	39
虧	kui1		溪合B支平	1	38	39
齡	ling2		來開青平	1	38	39
佈	bu4		幫模去	1	37	38
凌	ling2		來開蒸平	2	36	38
勸	quan4		溪合元去	1	37	38
唇	chun2	zhen1	章開眞平	1	37	38
址	zhi3		章之上	1	37	38
奮	fen4		幫文去	1	37	38
妻	qi1		清開齊平	1	36	38
妻	qi4		清開齊去	1	0	38
幸	xing4	heng4	匣開耕上	2	36	38
弓	gong1	jiong1	見三東平	2	36	38
彌	mi2		明A支平	1	37	38
惹	re3		日開三麻上	1	36	38
惹	ye3	ruo4	日開陽入	0	1	38
慘	can3		清覃上	1	37	38
措	cuo4	cu4	清模去	1	37	38
泛	fan4		滂凡去	1	36	38
泛	fan5			0	1	38
渾	hun2		匣魂平	1	37	38
玄	xuan2		匣合先平	1	37	38
籌	chou2		澄尤平	1	37	38
繩	sheng2		船開蒸平	1	37	38
翁	weng1		影一東平	2	36	38
腫	zhong3		章鍾上	1	36	38
腫	zhong1	zhong3	章鍾上	0	1	38
蜜	mi4		明A眞入	1	37	38
酌	zhuo2	zhuo	章開陽入	1	37	38
鍵	jian4		羣開B仙上; 羣開元上	1	37	38
閣	ge2	ge	見開唐入	1	37	38
雕	diao1		端蕭平	1	37	38
伙	huo3		曉合一歌上	1	31	37
伙	huo5			0	5	37
兼	jian1		見添平	1	36	37
凍	dong4		端一東去	1	36	37
刊	kan1		溪開寒平	1	36	37
午	wu3		疑模上	1	36	37
役	yi4	yu4	以合清入	1	36	37
憑	ping2		並蒸平	1	36	37
截	jie2		從開先入	1	36	37
扁	bian3		幫先上	1	31	37
扁	pian1		滂A仙平	2	3	37
抹	mo3	mo4	明寒入	1	29	37
抹	mo4		明寒入	1	3	37
抹	ma1	mo4	明寒入	1	2	37
援	yuan2		云合元平	1	36	37
擠	ji3	ji1	精開齊平	1	36	37
棋	qi2		羣之平	1	36	37
涉	she4	she2	常鹽入	1	36	37
溶	rong2	yong2	以鍾平	1	36	37
牢	lao2		來豪平	1	36	37
瑟	se4	she	生臻入	1	34	37
瑟	se5			0	2	37
疫	yi4	yu4	以合清入	1	36	37
矮	ai3	ya3	影開佳上	1	36	37
硫	liu2		來尤平	1	36	37
磷	lin2		來開眞平	1	36	37
簽	qian1		清鹽平	1	36	37
耗	hao4		曉豪去	1	36	37
臂	bi4		幫A支去	1	33	37
臂	bei5			0	3	37
舒	shu1		書魚平	2	34	37
舒	shu5			0	1	37
舟	zhou1		章尤平	1	36	37
般	ban1		幫刪平; 幫寒平	1	29	37
般	pan2		並寒平	1	3	37
般	bo1	ban1	幫刪平; 幫寒平	0	3	37
芝	zhi1		章之平	1	36	37
賞	shang3		書開陽上	1	36	37
趕	gan3		見開寒上	1	36	37
輩	bei4		幫灰去	1	36	37
霉	mei2		明灰平	1	36	37
頁	ye4	xie2	匣開先入	1	36	37
驅	qu1		溪虞平	1	36	37
丈	zhang4		澄開陽上	1	33	36
丈	zhang5			0	2	36
侵	qin1		清侵平	1	35	36
劫	jie2	jie	見嚴入	1	35	36
卑	bei1	bi1	幫A支平	1	35	36
嘆	tan4		透開寒去	1	35	36
姐	jie3		精開三麻上	1	26	36
姐	jie5			0	9	36
彼	bi3		幫B支上	1	35	36
悔	hui3		曉灰上	1	35	36
捨	she3		書開三麻上	1	32	36
捨	she4	she3	書開三麻上	0	3	36
搶	qiang3		清開陽上	1	30	36
搶	qiang1		清開陽平	1	4	36
映	ying4		影開三庚去	1	35	36
桌	zhuo1	zhuo	知江入	1	35	36
每	mei3		明灰上	1	35	36
況	kuang4	huang4	曉合陽去	1	35	36
淋	lin2		來侵平	1	31	36
淋	lin4	lin2	來侵平	1	3	36
漁	yu2		疑魚平	1	35	36
漂	piao1		滂A宵平	1	25	36
漂	piao3	piao4	滂A宵去	1	5	36
漂	piao4		滂A宵去	1	3	36
碑	bei1	bi1	幫B支平	1	35	36
穆	mu4		明三東入	2	34	36
競	jing4		羣開三庚去	1	35	36
肝	gan1		見開寒平	1	35	36
胃	wei4		云合微去	1	35	36
酶	mei2		明灰平	1	35	36
靖	jing4		從開清上	2	34	36
鳩	jiu1		見尤平	1	35	36
仗	zhang4		澄開陽去; 澄開陽上	1	32	35
仗	zhang5			0	2	35
冊	ce4	che	初開耕入	1	34	35
喬	qiao2		羣B宵平	2	33	35
坊	fang1		幫陽平	2	18	35
坊	fang2		並陽平	1	9	35
坊	fang5			0	5	35
夕	xi1	xi2	邪開清入	1	34	35
嫌	xian2		匣添平	1	34	35
忌	ji4		羣之去	1	34	35
扇	shan4		書開仙去	1	26	35
扇	shan1		書開仙平	1	5	35
扇	shan5			0	2	35
捐	juan1	yuan2	以合仙平	1	34	35
敏	min3		明B眞上	1	34	35
浩	hao4		匣豪上	1	34	35
漠	mo4		明唐入	1	34	35
炒	chao3		初肴上	1	34	35
炭	tan4		透開寒去	1	34	35
獻	xian4		曉開元去	1	34	35
竊	qie4	qie	清開先入	1	34	35
羞	xiu1		心尤平	1	34	35
葬	zang4		精開唐去	1	34	35
藤	teng2		定開登平	1	34	35
貫	guan4		見合寒去	1	34	35
逸	yi4		以開眞入	1	34	35
酮	tong2		定一東平	1	34	35
閒	xian2		匣開山平	1	32	35
閒	jian1		見開山平	1	0	35
閒	jian4		見開山去	1	0	35
闊	kuo4	kuo	溪合寒入	1	34	35
陀	tuo2		定開一歌平	1	34	35
鴞	xiao1	yao2	云宵平	1	34	35
鴻	hong2		匣一東平	1	34	35
仔	zai3	zi3	精之上	1	19	34
仔	zi3		精之上	1	10	34
仔	zi1		精之平	1	1	34
仔	zi5			0	1	34
促	cu4	cu	清鍾入	1	33	34
喇	la3	la4	來開寒入	1	27	34
喇	la4		來開寒入	0	2	34
喇	la1	la4	來開寒入	1	1	34
喇	la5			0	1	34
喇	la2	la4	來開寒入	0	1	34
嬌	jiao1		見B宵平	1	33	34
崩	beng1		幫登平	1	33	34
帖	tie3	tie	透添入	1	20	34
帖	tie1	tie	透添入	1	8	34
帖	tie4	tie	透添入	1	3	34
恭	gong1	jiong1	見鍾平	1	33	34
悟	wu4		疑模去	1	33	34
悶	men4		明魂去	1	25	34
悶	men1	men4	明魂去	1	6	34
悶	men5			0	1	34
慮	lü4		來魚去	1	33	34
押	ya1	ya	影銜入	1	33	34
拘	ju1		見虞平	1	33	34
斥	chi4	chi	昌開清入	1	33	34
朋	peng2		並登平	1	33	34
濃	nong2		孃鍾平	1	33	34
稿	gao3		見豪上	1	33	34
翹	qiao4	jiao4	羣A宵去	1	16	34
翹	qiao2		羣A宵平	1	16	34
肯	ken3	keng3	溪開登上	1	33	34
袖	xiu4		邪尤去	1	33	34
診	zhen3		章開眞上	1	33	34
輻	fu2	fu	幫三東入	1	33	34
返	fan3		幫元上	1	33	34
鋸	ju4		見魚去	1	31	34
鋸	ju5			0	1	34
鋸	ju1			1	0	34
霜	shuang1		生開陽平	1	33	34
鵝	e2		疑開一歌平	1	33	34
佩	pei4	bei4	並灰去	1	32	33
傻	sha3	shua3	生合二麻上	1	32	33
兇	xiong1		曉鍾平	1	32	33
卜	bu3	bu	幫一東入	2	28	33
卜	bo5			0	3	33
壇	tan2		定開寒平	1	32	33
壩	ba4		幫二麻去	1	32	33
奈	nai4		泥開泰去	1	32	33
奸	jian1		見開刪平	1	32	33
妄	wang4		明陽去	1	32	33
巢	chao2		崇肴平	2	31	33
幻	huan4		匣合山去	1	32	33
慣	guan4		見合刪去	1	32	33
抄	chao1		初肴平	1	32	33
拆	chai1	che	徹開二庚入	1	32	33
拋	pao1		滂肴平	1	32	33
擇	ze2	zhe2	澄開二庚入	1	28	33
擇	zhai2	zhe2	澄開二庚入	0	4	33
敢	gan3		見談上	1	32	33
敦	dun1		端魂平	1	32	33
敲	qiao1		溪肴平	1	32	33
柯	ke1	ge1	見開一歌平	2	31	33
欄	lan2		來開寒平	1	32	33
狐	hu2		匣模平	1	32	33
眠	mian2		明先平	1	32	33
礙	ai4		疑咍去	1	32	33
糕	gao1		見豪平	1	32	33
耕	geng1		見開耕平	1	31	33
耕	geng4	geng1	見開耕平	0	1	33
芬	fen1		滂文平	1	32	33
芳	fang1		滂陽平	1	32	33
菊	ju2	ju	見三東入	1	32	33
葡	pu2		並模平	2	31	33
蒸	zheng1		章開蒸平	1	32	33
蘿	luo2		來開一歌平	1	32	33
蝦	xia1	xia2	匣開二麻平	1	30	33
蝦	ha2	xia2	匣開二麻平	1	1	33
蠶	can2		從覃平	1	32	33
詐	zha4		莊開二麻去	1	32	33
贊	zan4		精開寒去	1	32	33
趙	zhao4		澄宵上	2	31	33
較	jiao4		見肴去	1	32	33
遲	chi2		澄開脂平	2	31	33
遼	liao2		來蕭平	1	32	33
閱	yue4		以合仙入	1	32	33
騎	qi2		羣開B支平	1	31	33
騎	ji4		羣開B支去	1	0	33
鬱	yu4	yu	影文入	2	31	33
鵐	wu2		明虞平	1	32	33
仿	fang3		滂陽上	1	31	32
俱	ju4	ju1	見虞平	1	31	32
凹	ao1	ya	影咸入	1	29	32
凹	wa1	ya	影咸入	1	1	32
努	nu3		泥模上	1	31	32
又	you4		云尤去	1	31	32
妖	yao1		影B宵平	1	31	32
寨	zhai4		崇開夬去	1	31	32
廟	miao4		明B宵去	1	31	32
彞	yi2		以開脂平	1	31	32
憤	fen4		並文上	1	31	32
抑	yi4	yi	影開B蒸入	1	31	32
拱	gong3	jiong3	見鍾上	1	30	32
拱	gong1	jiong3	見鍾上	0	1	32
擴	kuo4	kuo	溪合唐入	1	31	32
攀	pan1		滂刪平	1	31	32
旺	wang4		云合陽去	1	31	32
曾	zeng1		精開登平	2	20	32
曾	ceng2		從開登平	1	9	32
框	kuang4	kuang1	溪合陽平	1	31	32
梨	li2		來開脂平	1	31	32
棍	gun4	hun4	匣魂上	1	31	32
歪	wai1		影合皆平	1	29	32
歪	wai3			1	0	32
歪	wai5			0	1	32
沾	zhan1		知鹽平	1	31	32
爪	zhua3	zhao3	莊肴上	1	15	32
爪	zhao3		莊肴上	0	16	32
爬	pa2		並二麻平	1	31	32
皆	jie1		見開皆平	1	31	32
硯	yan4		疑開先去	1	31	32
祭	ji4		精開祭去	1	30	32
祭	zhai4		莊開皆去	1	0	32
秘	mi4	bi4	幫B脂去	1	28	32
秘	bi4		幫B脂去	1	2	32
紛	fen1		滂文平	1	31	32
纏	chan2		澄開仙平	1	30	32
纏	chan5			0	1	32
葛	ge3	ge	見開寒入	1	21	32
葛	ge2	ge	見開寒入	1	9	32
蒲	pu2		並模平	2	30	32
遍	bian4		幫先去	1	31	32
雁	yan4		疑開刪去	1	31	32
丟	diu1			1	30	31
冗	rong3		日鍾上	1	30	31
卓	zhuo2	zhuo	知江入	2	29	31
叔	shu1	shu	書三東入	1	27	31
叔	shu5			0	3	31
另	ling4		來開青去	1	30	31
咖	ka1	qia1	溪開二麻平	1	28	31
咖	ga1	qia1	溪開二麻平	0	2	31
壺	hu2		匣模平	1	30	31
宏	hong2		匣合耕平	1	30	31
彭	peng2		並二庚平	1	30	31
循	xun2		邪合眞平	1	30	31
愚	yu2		疑虞平	1	30	31
懂	dong3		端一東上	1	30	31
披	pi1		滂B支平	1	30	31
拙	zhuo1	zhuo	章合仙入	1	29	31
拙	zhuo2	zhuo	章合仙入	0	1	31
拾	shi2		常侵入	1	23	31
拾	she4	shi2	常侵入	1	2	31
拾	shi5			0	3	31
拾	shi1	shi2	常侵入	0	1	31
揭	jie1	jie	見開B仙入; 見開元入	1	30	31
敘	xu4		邪魚上	2	29	31
曆	li4		來開青入	1	28	31
曆	li5			0	2	31
曹	cao2		從豪平	2	29	31
欺	qi1		溪之平	1	30	31
毀	hui3		曉合B支上	1	29	31
毀	hui4		曉合B支去	0	1	31
沿	yan2	yuan2	以合仙平	1	30	31
濫	lan4		來談去	1	30	31
烯	xi1		曉開微平	1	30	31
瞎	xia1	xia	曉開刪入	1	30	31
祥	xiang2		邪開陽平	1	30	31
箍	gu1		見模平	1	30	31
翠	cui4		清合脂去	1	30	31
艇	ting3	ding4	定開青上	1	30	31
艙	cang1		清開唐平	1	30	31
裸	luo3		來合一歌上	1	30	31
跨	kua4		溪合二麻去	1	30	31
逢	feng2		並鍾平	1	30	31
醜	chou3		昌尤上	1	30	31
伐	fa2		並元入	1	29	30
匹	pi3	pi	滂A眞入	1	27	30
匹	pi1			1	0	30
匹	pi2	pi	滂A眞入	0	1	30
唯	wei2		以合脂平	1	26	30
唯	wei3		以合脂上	1	2	30
啞	ya3		影開二麻上	1	28	30
啞	ya1			1	0	30
坪	ping2		並三庚平	1	29	30
填	tian2		定開先平	1	29	30
娜	na4	nuo3	泥開一歌上	1	24	30
娜	nuo2	nuo3	泥開一歌上	1	4	30
巡	xun2		邪合眞平	1	29	30
拐	guai3	gua3	見合佳上	1	28	30
拐	guai5			0	1	30
搜	sou1	shou1	生尤平	1	29	30
搞	gao3	jiao3	見肴上	1	29	30
攘	rang3		日開陽上	1	27	30
攘	rang5			0	2	30
湘	xiang1		心開陽平	1	29	30
滌	di2		定開青入	1	29	30
漲	zhang3	zhang1	知開陽平	1	23	30
漲	zhang4		知開陽去	1	5	30
烤	kao3		溪豪上	1	29	30
獄	yu4		疑鍾入	1	29	30
玻	bo1	po1	滂一歌平	1	29	30
甚	shen4		常侵去; 常侵上	1	28	30
甚	shen2			1	0	30
甸	dian4		定開先去	2	28	30
瘤	liu2		來尤平	1	29	30
盈	ying2		以開清平	1	29	30
碰	peng4		滂耕去	1	29	30
緒	xu4		邪魚上	1	29	30
署	shu3	shu4	常魚去	1	29	30
肅	su4	su	心三東入	2	28	30
艷	yan4		以鹽去	1	29	30
茫	mang2		明唐平	1	29	30
蠹	du4		端模去	1	29	30
諧	xie2		匣開皆平	1	29	30
譽	yu4		以魚去	1	29	30
賈	jia3		見開二麻上	1	22	30
賈	gu3		見模上	1	6	30
輔	fu3	fu4	並虞上	1	29	30
遐	xia2		匣開二麻平	1	29	30
醋	cu4		清模去	1	29	30
醒	xing3		心開青上	1	29	30
韋	wei2		云合微平	2	28	30
駁	bo2	bo	幫江入	1	29	30
魏	wei4		疑合微去	2	28	30
享	xiang3		曉開陽上	1	28	29
估	gu1	gu3	見模上	1	25	29
估	gu4	gu3	見模上	1	1	29
估	gu5			0	1	29
儒	ru2		日虞平	1	28	29
剖	pou1	fu3	滂虞上	1	28	29
只	zhi3		章開支上	1	28	29
啡	fei1	pei3	滂灰上	1	28	29
噶	ga2	ge	見開寒入	1	28	29
埔	bu4	pu3	滂模上	1	21	29
埔	pu3		滂模上	1	6	29
孕	yun4	ying4	以開蒸去	1	28	29
孩	hai2		匣咍平	1	28	29
屠	tu2		定模平	2	27	29
廉	lian2		來鹽平	2	27	29
徹	che4	che	徹開仙入	1	28	29
悠	you1	you2	以尤平	1	25	29
悠	you5			0	3	29
慕	mu4		明模去	1	28	29
慾	yu4		以鍾入	1	28	29
昭	zhao1		章宵平	1	28	29
沁	qin4		清侵去	1	28	29
泊	bo2		並唐入	1	25	29
泊	po1	bo2	並唐入	1	2	29
漆	qi1	qi	清開眞入	1	28	29
癢	yang3		以開陽上	1	24	29
癢	yang5			0	4	29
磚	zhuan1		章合仙平	1	28	29
祝	zhu4	zhu	章三東入	2	27	29
篇	pian1		滂A仙平	1	28	29
紗	sha1		生開二麻平	1	28	29
綏	sui2	sui1	心合脂平	1	28	29
罰	fa2		並元入	1	28	29
翰	han4		匣開寒去	2	27	29
耍	shua3		生合二麻上	2	27	29
莎	sha1	suo1	心合一歌平	1	25	29
莎	suo1		心合一歌平	1	2	29
衍	yan3		以開仙上	1	28	29
輯	ji2		從侵入	1	19	29
輯	ji5			0	9	29
辰	chen2		常開眞平	1	25	29
辰	chen5			0	3	29
錐	zhui1		章合脂平	1	28	29
陪	pei2		並灰平	1	28	29
騙	pian4		滂A仙去	1	28	29
且	qie3		清開三麻上	1	27	28
丸	wan2	huan2	匣合寒平	1	27	28
佔	zhan4	dian1	端添平	1	27	28
偽	wei3	wei4	疑合B支去	1	27	28
兜	dou1		端侯平	1	26	28
兜	dou5			0	1	28
啦	la1	la4	來覃入	1	23	28
啦	la5			1	3	28
埋	mai2		明皆平	1	23	28
埋	man2	mai2	明皆平	1	3	28
塑	su4		心模去	1	27	28
壘	lei3		來合脂上	1	27	28
妥	tuo3		透合一歌上	1	27	28
屎	shi3		書開脂上	1	27	28
幅	fu2	fu	幫三東入	1	26	28
幅	fu5			0	1	28
庸	yong1	yong2	以鍾平	1	27	28
徽	hui1		曉合微平	1	27	28
恥	chi3		徹之上	1	27	28
懶	lan3		來開寒上	1	27	28
扳	ban1		幫刪平	1	26	28
扳	pan1		滂刪平	1	0	28
括	kuo4	guo	見合寒入	1	27	28
搬	ban1		幫寒平	1	27	28
暢	chang4		徹開陽去	1	27	28
曠	kuang4		溪合唐去	1	27	28
枯	ku1		溪模平	1	27	28
欠	qian4		溪嚴去	1	26	28
欠	qian5			0	1	28
濾	lü4		來魚去	1	27	28
疊	die2		定添入	1	27	28
硅	gui1	huo	曉合二庚入	1	27	28
聘	pin4	ping4	滂清去	1	27	28
茄	qie2		羣開三歌平	1	20	28
茄	jia1		見開二麻平	1	6	28
蝕	shi2		船開蒸入	1	27	28
蟹	xie4	xia4	匣開佳上	1	27	28
襲	xi2		邪侵入	1	27	28
詳	xiang2		邪開陽平	1	26	28
詳	xiang5			0	1	28
誓	shi4		常開祭去	1	27	28
誕	dan4		定開寒上	1	27	28
輝	hui1		曉合微平	1	27	28
轟	hong1		曉合耕平	1	27	28
逗	dou4		定侯去	1	27	28
郡	jun4		羣文去	1	27	28
鞭	bian1		幫A仙平	1	27	28
騷	sao1		心豪平	1	27	28
鵯	bei1	bi1	幫A支平	1	27	28
也	ye3		以開三麻上	2	25	27
你	ni3		孃之上	1	26	27
俸	feng4		並鍾去	1	26	27
偉	wei3		云合微上	1	26	27
傘	san3		心開寒上	1	26	27
兔	tu4		透模去	1	26	27
剝	bo1	bo	幫江入	1	20	27
剝	bao1	bo	幫江入	1	5	27
厲	li4		來開祭去	2	25	27
叛	pan4	ban4	並寒去	1	26	27
后	hou4		匣侯去; 匣侯上	2	25	27
契	qi4		溪開齊去	1	26	27
妝	zhuang1		莊開陽平	1	25	27
妝	zhuang5			0	1	27
姿	zi1		精開脂平	1	26	27
宅	zhai2	zhe2	澄開二庚入	1	26	27
岳	yue4		疑江入	2	25	27
拓	tuo4	tuo	透開唐入	2	21	27
拓	ta4	tuo	透開唐入	1	3	27
晨	chen2		常開眞平	1	26	27
柄	bing3	bing4	幫三庚去	1	26	27
桐	tong2		定一東平	1	26	27
械	xie4		匣開皆去	1	26	27
橙	cheng2		澄開耕平	1	26	27
欽	qin1		溪B侵平	2	25	27
泳	yong3	yong4	云合三庚去	1	26	27
滄	cang1		清開唐平	1	26	27
滯	zhi4		澄開祭去	1	26	27
煞	sha1	sha	生開山入	1	13	27
煞	sha4	sha	生開山入	1	12	27
爵	jue2	jue	精開陽入	1	26	27
璃	li5			0	17	27
璃	li2		來開支平	1	9	27
瓊	qiong2		羣合清平	1	26	27
畏	wei4		影合微去	1	26	27
畜	chu4	chu	徹三東入	1	21	27
畜	xu4	xu	曉三東入	1	4	27
盒	he2		匣覃入	1	26	27
禪	chan2		常開仙平	1	21	27
禪	shan4		常開仙去	1	4	27
糞	fen4		幫文去	1	26	27
糟	zao1		精豪平	1	26	27
茂	mao4	mou4	明侯去	1	26	27
萄	tao5			0	16	27
萄	tao2		定豪平	1	10	27
裕	yu4		以虞去	1	26	27
誘	you4	you3	以尤上	1	26	27
蹤	zong1		精鍾平	1	26	27
辱	ru3	ru4	日鍾入	1	26	27
需	xu1		心虞平	1	26	27
駐	zhu4		知虞去	1	26	27
鬚	xu1		心虞平	1	26	27
伸	shen1		書開眞平	1	25	26
伽	jia1	qie2	羣開三歌平	1	19	26
伽	ga1	qie2	羣開三歌平	0	4	26
伽	qie2		羣開三歌平	0	2	26
傲	ao4		疑豪去	1	25	26
冥	ming2		明青平	1	25	26
匪	fei3		幫微上	1	25	26
召	zhao4		澄宵去	1	22	26
召	shao4		常宵去	1	2	26
吾	wu2		疑模平	2	23	26
吾	wu5			0	1	26
呆	dai1		端咍平	1	25	26
唧	ji1	ji	精開眞入; 精開蒸入	1	18	26
唧	ji5			0	7	26
堪	kan1		溪覃平	1	25	26
姓	xing4		心開清去	1	25	26
尤	you2		云尤平	2	24	26
愁	chou2		崇尤平	1	25	26
愧	kui4	gui4	見合B脂去	1	25	26
扭	niu3		孃尤上	1	23	26
扭	niu5			0	2	26
挖	wa1	wa	影合山入	1	25	26
歇	xie1	xie	曉開元入	1	25	26
渠	qu2		羣魚平	2	23	26
渠	ju4			1	0	26
瘦	shou4		生尤去	1	25	26
癌	ai2	yan2	疑咸平	1	25	26
砲	pao4			1	25	26
碧	bi4	bi	幫三庚入	1	25	26
稻	dao4		定豪上	1	25	26
荊	jing1		見開三庚平	1	25	26
蕭	xiao1		心蕭平	2	24	26
裙	qun2		羣文平	1	25	26
託	tuo1	tuo	透開唐入	2	24	26
豹	bao4		幫肴去	1	25	26
販	fan4		幫元去	1	25	26
赴	fu4		滂虞去	1	25	26
趨	qu1		清虞平	1	25	26
躍	yue4		以開陽入	1	25	26
躲	duo3		端合一歌上	1	25	26
軋	ya4	ya	影開山入	2	14	26
軋	zha2	ya	影開山入	1	8	26
軋	ga2			1	0	26
郭	guo1	guo	見合唐入	2	24	26
酬	chou2	shou2	常尤平	1	23	26
酬	chou5			0	2	26
酷	ku4	ku	溪冬入	1	25	26
鈉	na4		泥覃入	1	25	26
馳	chi2		澄開支平	1	25	26
髓	sui3		心合支上	1	25	26
鵡	wu3		明虞上	1	25	26
鸚	ying1	eng1	影開耕平	1	25	26
齋	zhai1		莊開皆平	1	25	26
乏	fa2		並凡入	1	24	25
佬	lao3		來豪上	1	24	25
侯	hou2		匣侯平	2	23	25
凶	xiong1		曉鍾平	1	24	25
削	xue1	xue	心開陽入	1	16	25
削	xiao1	xue	心開陽入	1	7	25
哄	hong1	hong4	匣一東去	1	13	25
哄	hong3	hong4	匣一東去	1	10	25
哨	shao4	xiao1	心宵平	1	23	25
哨	shao5			0	1	25
哪	na3	nuo3	泥開一歌上	1	20	25
哪	na5			1	1	25
哪	nei3			1	0	25
哪	ne2	nuo3	泥開一歌上	0	1	25
喻	yu4		以虞去	2	23	25
姦	jian1		見開刪平	1	24	25
姨	yi2		以開脂平	1	24	25
嫁	jia4		見開二麻去	1	24	25
宴	yan4		影開先去	1	24	25
履	lü3	li3	來開脂上	1	24	25
崖	ya2		疑開佳平	1	24	25
惑	huo4	huo2	匣合登入	1	22	25
惑	huo5			0	2	25
惜	xi1	xi	心開清入	1	24	25
憲	xian4		曉開元去	1	24	25
戳	chuo1	chuo	徹江入	1	24	25
旬	xun2		邪合眞平	1	24	25
梗	geng3		見開二庚上	1	24	25
椎	zhui1	chui2	澄合脂平	1	23	25
椎	chui2		澄合脂平	1	0	25
槽	cao2		從豪平	1	24	25
殊	shu1	shu2	常虞平	1	24	25
涅	nie4		泥開先入	1	24	25
淮	huai2		匣合皆平	1	24	25
漸	jian4		從鹽上	1	22	25
漸	jian1		精鹽平	1	1	25
灶	zao4		精豪去	1	24	25
熔	rong2	yong2	以鍾平	1	24	25
牡	mu3	mou3	明侯上	1	23	25
牡	mu4	mou3	明侯上	0	1	25
犁	li2		來開齊平	1	24	25
痕	hen2		匣痕平	1	24	25
矩	ju3		見虞上	1	17	25
矩	ju5			0	7	25
矯	jiao3		見B宵上	2	21	25
矯	jiao2	jiao3	見B宵上	1	1	25
碟	die2		定添入	1	24	25
禽	qin2		羣B侵平	1	24	25
笨	ben4		並魂上	1	24	25
簿	bu4		並模上	1	24	25
籃	lan2		來談平	1	24	25
絨	rong2		日三東平	1	24	25
罩	zhao4		知肴去	1	24	25
聊	liao2		來蕭平	1	24	25
臀	tun2		定魂平	1	24	25
蓄	xu4	xu	曉三東入	1	24	25
蔥	cong1		清一東平	1	24	25
蕪	wu2		明虞平	1	24	25
貞	zhen1	zheng1	知開清平	1	24	25
邁	mai4		明夬去	1	24	25
邑	yi4	yi	影B侵入	1	24	25
鄭	zheng4		澄開清去	1	24	25
酯	zhi3		章開脂上	1	24	25
霞	xia2		匣開二麻平	1	24	25
亨	heng1		曉開二庚平	1	23	24
償	chang2		常開陽平	1	23	24
劣	lie4	lüe4	來合仙入	1	23	24
卒	zu2	zu	精魂入	1	18	24
卒	cu4	cu	清魂入	1	4	24
占	zhan4		章鹽去	1	15	24
占	zhan1		章鹽平	1	7	24
吧	ba1		幫二麻平	1	19	24
吧	ba5			1	3	24
哲	zhe2	zhe	知開仙入	1	23	24
嘎	ga1	jia	見開山入	0	16	24
嘎	ga2	jia	見開山入	1	7	24
垣	yuan2		云合元平	1	23	24
巫	wu1	wu2	明虞平	2	22	24
弊	bi4		並A祭去	1	23	24
彙	hui4	wei4	云合微去	1	23	24
悅	yue4		以合仙入	1	23	24
扒	ba1	ba	幫山入	1	14	24
扒	pa2	ba	幫山入	1	8	24
拒	ju4		羣魚上	1	23	24
描	miao2		明B宵平	1	23	24
旱	han4		匣開寒上	1	23	24
椅	yi3		影開B支上	1	23	24
榆	yu2		以虞平	1	23	24
榜	bang3		幫唐上	1	20	24
榜	bang4	bang3	幫唐上	1	1	24
榜	peng4			1	0	24
沫	mo4		明寒入	1	21	24
沫	mo5			0	2	24
