	MC	schuesslerLHC	schuesslerOC	zhengzhang	baxter-sagart	baxter1992	jinlixin	lifanggui	msoeg	msoegDK	starostinLO	starostinTK	wangli	zhoufagao	上古讀有
啵	幫一歌平														
嶓	幫一歌平			paːl						pˤai					✓
波	幫一歌平	pɑj	pâj	paːl	pˤaj	paj	par	par	pˁ[a]i（bō）	pˤai	paːj（bō）	paːj（bō）	puai	pwa	✓
紴	幫一歌平・滂三B支上			pʰralʔ・paːl				par・pʰjiarx		pʰ(r)aiʔ・pˤai				pwa・pʰiwa	✓
菠	幫一歌平			paːl											✓
簸	幫一歌上・幫一歌去	pɑjᴮ・pɑjᶜ	pâjʔ・pâjh	paːlʔ・paːls	pˤajʔ・pˤajʔ-s	pajs・pajʔ	parʔ・pars	parx・parh	pˁ[a]iʔ（bǒ）・pˁ[a]ih（bò）	pˤaiʔ・pˤaih	páːj（bǒ）		puai・puai	pwa・pwa	✓
駊	幫一歌上・滂一歌上			paːlʔ・pʰaːlʔ						pˤaiʔ・pʰˤaiʔ					✓
㝿	幫一歌上									pˤaiʔ				pwa	✓
播	幫一歌去	pɑjᶜ	pâjh	paːls	pˤar-s		pars	parh	pˁ[a]lh（bò）	pˤaih	paːnh（bò）		puai	pwa	✓
譒	幫一歌去	pɑjᶜ	pâjh	paːls				parh		pˤaih			puai	pwa	✓
𢿥	幫一歌去									pˤaih					✓
坡	滂一歌平	pʰɑj	pʰâj	pʰaːl				pʰar		pʰˤai			pʰuai	pʰwa	✓
玻	滂一歌平			pʰaːl						pʰˤai					✓
𡶅	滂一歌平														
𨸭	滂一歌平														
叵	滂一歌上			pkʰaːlʔ						pʰˤaiʔ			pʰuai		✓
笸	滂一歌上														
鉕	滂一歌上														
頗	滂一歌上・滂一歌去・滂一歌平	pʰɑj	pʰâj	pʰaːl・pʰaːlʔ・pʰaːls	pʰˤa[j]			pʰar・pʰarx・pʰarh	pʰˁ[a]i（pō）	pʰˤai・pʰˤaiʔ・pʰˤaih			pʰuai・pʰuai	pʰwa・pʰwa・pʰwa	✓
𡽠	滂一歌上									pʰˤaiʔ					✓
破	滂一歌去	pʰɑjᶜ	pʰâjh	pʰaːls	pʰˤaj-s	pʰajs	phars	pʰarh	pʰˁ[a]ih（pò）	pʰˤaih		pʰaːjh（pò）	pʰuai	pʰwa	✓
婆	並一歌平	bɑj	bâj	baːl	[b]ˤa[j]	baj	bar		bˁ[a]i（pó）	bˤai	b⁽ʱ⁾aːj（pó）		buai	bwa	✓
媻	並一歌平・並一寒平			baːl・baːn				ban		bˤan・bˤai			buan	bwan	✓
搫	並一歌平・並一寒平			baːl・baːn				ban		bˤan・bˤai				bwan	✓
皤	並一歌平・幫一歌平	bɑj	bâj	paːl・baːl	[b]ˤar			bar・par	bˁ[a]l（pó）	pˤai・bˤai	baːn（pó）		buai	bwa・pwa	✓
碆	並一歌平・幫一歌平			paːl・baːl						pˤai・bˤai					✓
蔢	並一歌平			baːl						bˤai					✓
鄱	並一歌平			baːl	[b]ˤar			bar	bˁ[a]l（pó）	bˤai			buai	bwa	✓
𩕏	並一歌平									bˤai					✓
爸	並一歌上			praːs・baʔ											✓
劘	明一歌平			maːl						mˤai			muai		✓
摩	明一歌平・明一歌去	mɑ・mɑj	mâj	maːl・maːls				mar・marh		mˤai・mˤaih			muai・muai	mwa・mwa	✓
蘑	明一歌平														
魔	明一歌平			maːl						mˤai			muai		✓
麽	明一歌平	mɨ̯ɑjᴮ	majʔ	maːl											✓
䭩	明一歌平									mˤai					✓
䯢	明一歌平							mar		mˤai				mwa	✓
𡡉	明一歌平									mˤai					✓
𥂓	明一歌平・明二麻平									mˤai・mrˤai					✓
𦟟	明一歌平									mˤai					✓
𦣆	明一歌平									mˤai					✓
𩞁	明一歌平									mˤai					✓
嬤	明一歌上・見合一歌上														
懡	明一歌上									mˤaiʔ					✓
麼	明一歌上・明一歌平			maːlʔ						mˤaiʔ				mwa	✓
𣋟	明一歌上									mˤaiʔ					✓
塺	明一歌去・明一灰平	mɑjᶜ	mâjh	maːls・mɯːl	mˤaj-s			marh	mˁ[a]ih（mò）	mˤaih・mˤəi	məː（méi）			mwa	✓
磨	明一歌去・明一歌平	mɑ・mɑj	mâj	maːl・maːls	mˤaj・mˤaj-s	maj(s)	mar	mar・marh	mˁ[a]i（mó）・mˁ[a]ih（mò）	mˤai・mˤaih	maːj（mó）	maːj（mó）	muai・muai	mwa・mwa	✓
耱	明一歌去														
䃺	明一歌去									mˤaih					✓
哥	見開一歌平	kɑj	kâj	kaːl				kar		kˤai			kai	ka	✓
柯	見開一歌平	kɑ・kɑj	kâj	kaːl	[k]ˤar		kar	kar	kˁai（kē）	kˤai			kai	ka	✓
歌	見開一歌平	kɑj	kâj	kaːl	[k]ˤaj	kaj	kar	kar	kˁai（gē）	kˤai	kaːj（gē）	kaːj（gē）	kai	ka	✓
滒	見開一歌平			kaːl				kar		kˤai				ka	✓
牁	見開一歌平	kɑj	kâj	kaːl						kˤai					✓
菏	見開一歌平・匣開一歌平			kaːl・gaːl				gar		ɡˤai			ɣai	ga	✓
謌	見開一歌平	kɑj	kâj	kaːl				kar		kˤai				ka	✓
鴚	見開一歌平			kaːl				kar		kˤai				ka	✓
㤎	見開一歌平									kˤai					✓
哿	見開一歌上	kɑjᴮ	kâj	kaːlʔ			karʔ	karx		kˤaiʔ			kai	ka	✓
笴	見開一歌上・見開一寒上	kɑjᴮ・kɑnᴮ	kâjʔ・kânʔ	kaːlʔ・kaːnʔ	kˤarʔ				kˁa[l]ʔ（gǎn）	kˤaiʔ	káːj（gě）			kan・ka	✓
舸	見開一歌上			kaːlʔ						kˤaiʔ					✓
𥰮	見開一歌上									kˤaiʔ					✓
個	見開一歌去	kɑᶜ・kɑjᶜ	kâjh	kaːls	kˤa[r]-s	kajs			kˁaih（gè）	kˤaih❓	kaːjh（gè）		ka		✓
箇	見開一歌去	kɑᶜ・kɑjᶜ	kâjh	kaːls	kˤa[r]-s			karh	kˁaih（gè）	kˤaih❓	kaːjh（gè）		ka	ka	✓
个	見開一歌去	kɑjᶜ・kɑnᶜ	kâjh・kâns	kaːls	kˤa[r]-s				kˁaih（gè）	kˤaih❓			ka	ka	✓
珂	溪開一歌平			kʰaːl						kʰˤai			kʰai		✓
䯊	溪開一歌平									kʰˤai					✓
𠳊	溪開一歌平														
可	溪開一歌上	kʰɑjᴮ	kʰâjʔ	kʰaːlʔ	[k]ʰˤa[j]ʔ	kʰajʔ	kharʔ	kʰarx	kʰˁaiʔ（kě）	kʰˤaiʔ	kʰáːj（kě）	kʰaːjʔ（kě）	kʰai	kʰa	✓
坷	溪開一歌上・溪開一歌去			kʰaːlʔ・kʰaːls				kʰarx		kʰˤaiʔ・kʰˤaih			kʰai・kʰai	kʰa	✓
岢	溪開一歌上			kʰaːlʔ						kʰˤaiʔ			kʰai		✓
軻	溪開一歌上・溪開一歌去・溪開一歌平	kʰɑj	kʰâj	kʰaːl・kʰaːlʔ・kʰaːls				kʰar・kʰarx		kʰˤai・kʰˤaiʔ・kʰˤaih			kʰai・kʰai	kʰa・kʰa	✓
艐	溪開一歌去・精一東平・見開二皆去			kʰaːls・krɯːds・kʰaːls・ʔsoːŋ				tsuŋ		tsˤoŋ				tsewŋ	✓
俄	疑開一歌平	ŋɑj	ŋâj	ŋaːl		ŋaj		ŋar	ŋˁai（é）	ŋˤai	ŋaːj（é）	ŋaːj（é）	ŋai	ŋa	✓
哦	疑開一歌平			ŋaːl						ŋˤai			ŋai		✓
娥	疑開一歌平	ŋɑj	ŋâj	ŋaːl				ŋar		ŋˤai			ŋai	ŋa	✓
峨	疑開一歌平	ŋɑj	ŋâj	ŋaːl		ŋaj				ŋˤai	ŋaːj（é）				✓
峩	疑開一歌平			ŋaːl			ŋar	ŋar	ŋˁai（é）			ŋaːj（é）	ŋai	ŋa	✓
涐	疑開一歌平			ŋaːl				ŋar		ŋˤai				ŋa	✓
睋	疑開一歌平	ŋɑj	ŋâj	ŋaːl						ŋˤai				ŋa	✓
莪	疑開一歌平	ŋɑj	ŋâj	ŋaːl		ŋaj	ŋar	ŋar	ŋˁai（é）	ŋˤai	ŋ⁽ʱ⁾aːj（é）	ŋ⁽ʱ⁾aːj（é）	ŋai	ŋa	✓
誐	疑開一歌平	ŋɑj	ŋâj	ŋaːl				ŋar		ŋˤai				ŋa	✓
鋨	疑開一歌平														
鵝	疑開一歌平	ŋɑj	ŋâj	ŋaːl	ŋˤa[r]			ŋar	ŋˁai（é）	ŋˤai			ŋai	ŋa	✓
䄉	疑開一歌平									ŋˤai					✓
我	疑開一歌上	ŋɨ̯eᶜ・ŋɨ̯ajᶜ・ŋɑjᴮ	ŋajh・ŋâjʔ	ŋaːlʔ	ŋˤajʔ	ŋajʔ	ŋarʔ	ŋarx	ŋˁaiʔ（wǒ）	ŋˤaiʔ	ŋʱáːj（wǒ）	ŋʱaːjʔ（wǒ）	ŋai	ŋa	✓
硪	疑開一歌上・疑開一歌平			ŋaːl・ŋaːlʔ				ŋar・ŋarx		ŋˤai・ŋˤaiʔ			ŋai	ŋa・ŋa	✓
騀	疑開一歌上			ŋaːlʔ				ŋarx		ŋˤaiʔ				ŋa	✓
㧴	疑開一歌上									ŋˤaiʔ					✓
𩒰	疑開一歌上・疑開一歌平									ŋˤai・ŋˤaiʔ					✓
餓	疑開一歌去	ŋɑjᶜ	ŋâjh	ŋaːls	ŋˤaj-s		ŋars	ŋarh	ŋˁaih（è）	ŋˤaih	ŋaːjh（è）		ŋai	ŋa	✓
啊	影開一歌平														
妿	影開一歌平・見開一歌平			kaːl・qaːl				kar		kˤai・ʔˤai				ka	✓
婀	影開一歌平														
屙	影開一歌平														
疴	影開一歌平・溪開二麻去			qaːl・kʰraːls						kʰrˤaih					✓
痾	影開一歌平			qaːl				ʔar		ʔˤai			0ai	ʔa	✓
鈳	影開一歌平			qaːl						ʔˤai					✓
錒	影開一歌平														
阿	影開一歌平	ʔɑ・ʔɑj	ʔâj・ʔaj-tsaj	qaːl	qˤa[j]・ʔˤa・qˤaj	ʔaj	ʔar	ʔar	ʔˁai（ē）・ʔˁai（ē）	ʔˤai	ʔaːj（ē）	ʔaːj（ē）	0ai	ʔa	✓
䋪	影開一歌平									ʔˤai					✓
妸	影開一歌上・影開一歌平			qaːl・qaːlʔ				ʔar		ʔˤai・ʔˤaiʔ			0ai	ʔa	✓
娿	影開一歌上・影開一歌平			qaːl・qaːlʔ				ʔar・ʔarx		ʔˤai・ʔˤaiʔ				ʔa・ʔa	✓
㫊	影開一歌上	ʔɑjᴮ・ʔɨ̯ajᴮ	ʔâjʔ・ʔajʔ							ʔˤaiʔ				ʔa	✓
𣘨	影開一歌上									ʔˤaiʔ					✓
𧙃	影開一歌上									ʔˤaiʔ					✓
𨵌	影開一歌上							ʔarx		ʔˤaiʔ			0ai	ʔa	✓
侉	影開一歌去			qaːls											✓
抲	曉開一歌平			qʰaːl				har		hˤai				xa	✓
訶	曉開一歌平	hɑj	hâj	qʰaːl	qʰˤaj			har	xˁai（hē）	hˤai	haːj（hē）		hai	xa	✓
㱒	曉開一歌平									hˤai					✓
㗿	曉開一歌上・曉開二麻上・曉開二麻去									hˤaiʔ					✓
㪃	曉開一歌上									hˤaiʔ					✓
㰤	曉開一歌上・曉開一歌去・溪開二麻去									kʰrˤaih・hˤaiʔ・hˤaih					✓
𩑸	曉開一歌上・曉開一歌平									hˤai・hˤaiʔ					✓
呵	曉開一歌去・曉開一歌平	hɑj	hâj	qʰaːl・qʰaːls	qʰˤaj				xˁai（hē）	hˤai・hˤaih	haːj（hē）		hai	xa	✓
何	匣開一歌平・匣開一歌上	gɑjᴮ・gɑj	gâjʔ・gâj	gaːl・gaːlʔ	[g]ˤaj	gaj(ʔ)	gar	gar・garx	gˁai（hé）	ɡˤai・ɡˤaiʔ	gʱaːj（hé）	g⁽ʱ⁾aːj（hé）	ɣai・ɣai	ga・ga	✓
河	匣開一歌平	gɑj	gâj	gaːl	[C.g]ˤaj	gaj	gar	gar	gˁai（hé）	ɡˤai	gʱaːj（hé）	gʱaːj（hé）	ɣai	ga	✓
苛	匣開一歌平	gɑj	gâj	gaːl				gar		ɡˤai			ɣai	ga	✓
蚵	匣開一歌平・溪開一歌去			kʰaːls・gaːl						kʰˤaih・ɡˤai					✓
魺	匣開一歌平			gaːl						ɡˤai					✓
荷	匣開一歌上・匣開一歌平	gɑj・gɑjᴮ	gâj・gâjʔ	qʰaːls・gaːl・gaːlʔ	[g]ˤaj・[g]ˤajʔ	gaj	gar	gar・garx	gˁai（hé）・gˁai（hè）	ɡˤai・ɡˤaiʔ	gʱaːj（hé）	gʱaːj（hé）	ɣai・ɣai	ga・ga	✓
袔	匣開一歌去			gaːls						ɡˤaih					✓
賀	匣開一歌去	gɑjᶜ	gâjh	gaːls	m-kˤaj-s	gajs	gars	garh	gˁaih（hè）	ɡˤaih	g⁽ʱ⁾aːjh（hè）	g⁽ʱ⁾aːjh（hè）	ɣai	ga	✓
㵑	匣開一歌去									ɡˤaih					✓
𧝂	匣開一歌去									ɡˤaih					✓
儸	來開一歌平			raːl						rˤai					✓
囉	來開一歌平			raːl						rˤai					✓
玀	來開一歌平														
籮	來開一歌平	lɑj	râj	raːl	C.rˤaj				ɹˁai（luó）	rˤai	rʱaːj（luó）				✓
羅	來開一歌平	lɑ・lɑj	râj	raːl	rˤaj	C-raj	rar	lar	ɹˁai（luó）	rˤai	raːj（luó）	raːj（luó）	lai	la	✓
蘿	來開一歌平	lɑj	râj	raːl		C-raj	rar	lar	ɹˁai（luó）	rˤai	raːj（luó）	r⁽ʱ⁾aːj（luó）	lai	la	✓
鑼	來開一歌平			raːl						rˤai					✓
饠	來開一歌平			raːl						rˤai					✓
𤄷	來開一歌平									rˤai					✓
剆	來開一歌上・來開一歌平			raːl・raːlʔ											✓
曪	來開一歌上														
欏	來開一歌上・來開一歌平			raːl・raːlʔ						rˤai					✓
砢	來開一歌上			g·raːlʔ				larx						la	✓
㦬	來開一歌上														
㰁	來開一歌上														
𠻡	來開一歌上														
𣂞	來開一歌上														
𩝢	來開一歌上														
邏	來開一歌去			raːl・raːls											✓
㿚	來開一歌去														
𧟌	來開一歌去														
多	端開一歌平	tɕʰeᴮ・tɕʰajᴮ・ɖe・ɖjaj・tɑ・tɑj	k-hlajʔ・draj・r-laj・tâj・tlaj	ʔl'aːl	[t.l]ˤaj	taj・tsɨjʔ	tar	tar	tˁai（duō）	tˤai	taːj（duō）	taːj（duō）	tai	ta	✓
茤	端開一歌平														
𦰿	端開一歌平														
𦷛	端開一歌平														
嚲	端開一歌上			taːlʔ											✓
䫂	端開一歌上														
䯬	端開一歌上														
哆	端開一歌去・端開一歌上・知開二麻去・徹開二麻平・昌開三麻上・昌開三支上・昌開三之去	tɕʰajᴮ	k-l̥ajʔ・kʰlaʔ	ʔl'aːlʔ・ʔl'aːls・ʔr'aːls・traːls・hr'aːl・tʰraːl・l̥ʰjaːlʔ・l̥ʰjalʔ・l̥ʰjɯs	[t-l̥]Ajʔ	tʰjAjʔ	tha̠rʔ	tʰrar・tʰjarx・tarx・tarh・trarh	tʰaiʔ（chǐ）・tʰaiʔ（chǐ）	tʰaiʔ	tʰiáj（chě）		ȶʰǐai・tɕʰiai	tʰra・tʰjia・ta・ta・tra	✓
痑	端開一歌去・透開一歌平・透開一寒平	tɑjᶜ・tʰɑj	tâjh・tlajh・l̥âj	ʔl'aːls・l̥ʰaːl・l̥ʰaːn				tarh						tʰa・ta	✓
跢	端開一歌去・端開一泰去			ʔl'aːls・ʔl'aːds											✓
他	透開一歌平	tʰɑj	l̥âj	l̥ʰaːl	l̥ˤaj	hlaj	sar	tʰar	l̥ˁai（tā）	l̥ˤai	l̥aːj（tā）	tɬ⁽ʰ⁾aːj（tā）	tʰai	tʰa	✓
她	透開一歌平														
它	透開一歌平	ʑa・ʑɑj	m-laj・l̥âj	l̥ʰaːl	l̥ˤaj	hlaj	sar	tʰar	l̥ˁai（tā）	l̥ˤai	l̥aːj（tā）		tʰai	tʰa	✓
牠	透開一歌平														
祂	透開一歌平														
拖	透開一歌去・透開一歌平	tʰɑj・tʰɑjᶜ・dɑjᴮ	l̥âj・l̥âjh・lâjʔ	l̥ʰaːl・l̥ʰaːls	l̥ˤaj				l̥ˁai（tuō）	l̥ˤai❓	l̥aːj（tuō）			tʰa	✓
佗	定開一歌平・透開一歌平	tʰɑjᶜ・dɑj	l̥âjh・lâj・l̥âjʔ	l̥ʰaːl・l'aːl	l̥ˤaj	hlajs・laj	zar	tʰar	lˁai（tuó）・l̥ˁai（tuō）	l̥ˤai・lˤai	l̥aːjh（tuó）	l⁽ʱ⁾aːj（tuó）	dai・tʰai	da・tʰa	✓
坨	定開一歌平														
砣	定開一歌平														
紽	定開一歌平	dɑj	lâj	l'aːl	lˤaj	laj	zar	dar	lˁai（tuó）	lˤai	l⁽ʱ⁾aːj（tuó）	lʱaːj（tuó）	dai	da	✓
詑	定開一歌平・定開一歌上・透合一歌平・曉開三A支平・以開三支平			l'aːl・l'aːlʔ・hlel・lal・l̥ʰoːl				rar・dar・rarx		lˤai・lˤaiʔ・lai			dai	ria・da・da	✓
跎	定開一歌平			l'aːl						lˤai			dai		✓
迱	定開一歌平			l'aːl						lˤai					✓
酡	定開一歌平			l'aːl				dar		lˤai			dai	da	✓
陀	定開一歌平	dɑj		l'aːl						lˤai			dai		✓
駝	定開一歌平	dɑj	lâj	l'aːl						lˤai			dai		✓
駞	定開一歌平			l'aːl						lˤai					✓
驒	定開一歌平・定開一寒平・端開四先平	dɑj・dɑn・ten	dâj・dân・tên	daːl・daːn・teːn	[d]ˤar・tˤer		dar		dˁal（tuó）・tˁ[a]l（tuó）	dˤai・dˤan・tˤiŋ	d⁽ʱ⁾aːn（tuó）		dai	dan・tean・da	✓
鮀	定開一歌平			l'aːl				dar		lˤai			dai	da	✓
鴕	定開一歌平			l'aːl											✓
鼉	定開一歌平	dɑj・dɑn	dâj・dân	daːl	[d]ˤar		dar		dˁal（tuó）・dˁal（tuó）	dˤai	d⁽ʱ⁾aːn（tuó）		dai	da	✓
鼧	定開一歌平・透開一歌平									l̥ˤai・lˤai					✓
㼠	定開一歌平									lˤai					✓
䍫	定開一歌平									lˤai					✓
䡐	定開一歌平									lˤai					✓
𡩆	定開一歌平									lˤai					✓
𧕛	定開一歌平									dˤai					✓
𩉺	定開一歌平							dar		lˤai				da	✓
拕	定開一歌上・透開一歌平	tʰɑj・tʰɑjᶜ・dɑjᴮ	l̥âj・l̥âjh・lâjʔ	l̥ʰaːl・l'aːlʔ				tʰar		l̥ˤai・lˤaiʔ				tʰa・da	✓
柁	定開一歌上	dɑjᴮ	lâjʔ	l'aːlʔ						lˤaiʔ			dai		✓
沱	定開一歌上・定開一歌平	dɑj	lâj・draj	l'aːl・l'aːlʔ	lˤaj	laj	zar	dar・rarx	lˁai（tuó）	lˤai・lˤaiʔ	l⁽ʱ⁾aːj（tuó）	l⁽ʱ⁾aːj（tuó）	dai	da・da	✓
沲	定開一歌上・定開一歌平														
舵	定開一歌上	dɑjᴮ	lâjʔ	l'aːlʔ	lˤajʔ・C.lˤajʔ	lajʔ			lˁaiʔ（duò）	lˤaiʔ	lʱáːj（duò）				✓
袉	定開一歌上・定開一歌平・透開一歌上			l̥ʰaːlʔ・l'aːl・l'aːlʔ				dar・rarx・tʰarx		lˤai・lˤaiʔ				da・da・tʰa	✓
陊	定開一歌上・澄開三支上	ɖeᴮ・ɖjajᴮ	drajʔ・r-lajʔ	l'aːlʔ・l'alʔ				rarx						dia・da	✓
𣵻	定開一歌上									lˤaiʔ					✓
馱	定開一歌去・定開一歌平			daːl・daːds									dai		✓
駄	定開一歌去														
䭾	定開一歌去・定開一歌平														
儺	泥開一歌平	nɑj・nɑjᴮ	nâj・nâjʔ	naːl	nˤar・nˤarʔ	najʔ	nar	nar	nˁal（nuó）・nˁal（nuó）・nˁalʔ（nuó）	nˤai❓	naːn（nuó）	n⁽ʱ⁾aːr（nuó）	nai	na	✓
挪	泥開一歌平			naːl						nˤai					✓
㔮	泥開一歌平									nˤai❓					✓
𠹈	泥開一歌平									nˤai❓					✓
𡖔	泥開一歌平									nˤai					✓
𤘟	泥開一歌平									nˤai					✓
𩴓	泥開一歌平									nˤai❓					✓
哪	泥開一歌上														
娜	泥開一歌上			naːlʔ						nˤaiʔ					✓
橠	泥開一歌上			naːlʔ											✓
㡅	泥開一歌上														
𢄴	泥開一歌上														
𨙻	泥開一歌上														
奈	泥開一歌去・泥開一泰去	nɑs	nâs・nâts	naːls・naːds	nˤa[t]-s				nˁaθ（nài）	nˤath			nat		✓
那	泥開一歌去・泥開一歌平・泥開一歌上	nɑ・nɑj・nɑᶜ	nâj	naːl・naːlʔ・naːls	nˤar	naj	nar	nar	nˁal（nuó）	nˤai・nˤaiʔ・nˤaih	n⁽ʱ⁾aːn（nuó）	n⁽ʱ⁾aːr（nuó）	nai・nai	na	✓
郍	泥開一歌去														
左	精開一歌上・精開一歌去	tsɑᴮ・tsɑjᴮ	tsâjʔ	ʔsaːlʔ・ʔsaːls	tsˤa[j]ʔ・tsˤarʔ-s	tsajʔ	ȶarʔ	tsarx・tsarh	tsˁaiʔ（zuǒ）・tsˁaiʔ（zuǒ）・tsˁaih（zuǒ）	tsˤaiʔ・tsˤaih	tsáːj（zuǒ）	tsaːjʔ（zuǒ）	tsai・tsai	tsa・tsa	✓
㝾	精開一歌上・精開一歌去									tsˤaiʔ・tsˤaih					✓
𠂇	精開一歌上									tsˤaiʔ					✓
佐	精開一歌去	tsɑjᶜ	tsâjh	ʔsaːls	tsˤarʔ-s	tsajs	ȶars		tsˁaih（zuǒ）	tsˤaih	tsaːjh（zuǒ）	tsaːjh（zuǒ）	tsai	tsa	✓
袏	精開一歌去			ʔslaːls						tsˤaih					✓
𠡃	精開一歌去							tsarh		tsˤaih				tsa	✓
搓	清開一歌平			shlaːl						tsʰˤai			tsʰai		✓
溠	清開一歌平・莊開二麻去・莊開二麻平			shlaːl・sraːl・ʔsraːls				tsʰar・tsrar・tsrarh		tsʰˤai				tsʰa・tsra・tsra	✓
蹉	清開一歌平			shlaːl						tsʰˤai			tsʰai		✓
瑳	清開一歌上・清開一歌平	tsʰɑjᴮ	tsʰâjʔ	shlaːl・shlaːlʔ	tsʰˤarʔ	tshajʔ	ȶhar	tsʰarx	tsʰˁaiʔ（cuǒ）	tsʰˤai	sʰaːj（cuō）	sʰaːjʔ（cuǒ）	tsʰai	tsʰa・tsʰa	✓
硰	清開一歌上・生開二麻平			ʔsaːlʔ・shaːlʔ・sraːl						srˤai					✓
磋	清開一歌去・清開一歌平	tsʰɑj	tsʰâj	shlaːl	[tsʰ]ˤaj	tshaj	ȶhar	tsʰar	tsʰˁai（cuō）	tsʰˤai	sʰaːj（cuō）	sʰaːj（cuō）	tsʰai	tsʰa	✓
諎	清開一歌去・莊開二庚入			ʔsraːg				tsrak		tsrˤak				tsrak	✓
𢯽	清開一歌去														
嵳	從開一歌平			zlaːl				dzar					dzai	dza	✓
蒫	從開一歌平・精開三麻平・精開三脂平			zlaːl・ʔsljal・ʔslɯl				dzar		dzˤai・tsai❓				dza	✓
蔖	從開一歌平・清一模上			zlaːl・shaːʔ						tsʰˤaʔ					✓
虘	從開一歌平	dzɑ	dzâ	zaːl・zaː				dzag						dzaɣ	✓
醝	從開一歌平			zlaːl						dzˤai					✓
鹺	從開一歌平	dzɑj	dzâj	zlaːl	N-[ts]ˤaj				dzˁai（cuó）	dzˤai	z⁽ʱ⁾aːj（cuó）		dzai	dza	✓
㽨	從開一歌平							dzar		dzˤai				dza	✓
䑘	從開一歌平									dzˤai					✓
䠡	從開一歌平														
䣜	從開一歌平														
䰈	從開一歌平・清開一歌上							dzar・tsʰarx		dzˤai				dza・tsʰa	✓
䴾	從開一歌平							dzar		dzˤai				dza	✓
𣩈	從開一歌平・精開三麻平									dzˤai・tsai❓					✓
𥰭	從開一歌平・莊開二麻上									dzˤai					✓
𨇃	從開一歌平														
𪘓	從開一歌平・清開一歌平							tsʰar・dzar		tsʰˤai・dzˤai				tsʰa・dza	✓
仨	心開一歌平														
傞	心開一歌平・清開一歌平	sɑj・tsʰɑj	sâj・tsʰâj	shlaːl・slaːl		saj	ȶhar	tsʰar	tsʰˁai（suō）	tsʰˤai	saːj（suō）	sʰaːj（suō）	tsʰai	tsʰa・sa	✓
嗦	心開一歌平														
挱	心開一歌平			saːl・sraːl						sˤai					✓
挲	心開一歌平			saːl						sˤai			sai		✓
桫	心開一歌平			saːl						sˤai					✓
䓾	心開一歌平									sˤai					✓
䤬	心開一歌平									sˤai					✓
𠈱	心開一歌平									sˤai					✓
𥆝	心開一歌平									sˤai					✓
𩊮	心開一歌平・生開二麻平									sˤai・srˤai					✓
娑	心開一歌上・心開一歌平	sɑj	sâj	saːl・saːlʔ	[s]ˤa[j]	saj	ɕar	sar	sˁai（suō）	sˤai	saːj（suō）	saːj（suō）	sai	sa	✓
褨	心開一歌上			slaːlʔ											✓
縛	並三C歌去・並三C陽入	bʷɑk	bak	baːgs・baːh・bag	bak	bjak		bjak	bak（fù）	bak	bak（fú）		bǐwak	bjwak	✓
佉	溪開三C歌平			kʰal・kʰa											✓
㰦	溪開三C歌平・溪開三C魚去									kʰ(r)ah					✓
𠋧	溪開三C歌平														
伽	羣開三C歌平	ga		ga・gal						ɡai					✓
枷	羣開三C歌平・見開二麻平	ka・kaj	krâj	ga・gal・kraːl				krar		krˤai・ɡai			keai	kra	✓
茄	羣開三C歌平・見開二麻平			ga・gal・kraːl				krar		krˤai・ɡai			gǐai・keai	kra	✓
倆	來開三C歌上・來開三陽上			raŋʔ											✓
堝	見合一歌平			kloːl						kwˤai					✓
戈	見合一歌平	kʷɑj	kʷâj・kôj	koːl	kʷˤaj		kor		k[wˁa]i（gē）	kɫˤoi	kwaːj（gē）		kuai	kwa	✓
楇	見合一歌平			kloːl・gloːls						kwˤai				kwa	✓
瘑	見合一歌平			kloːl						kwˤai					✓
緺	見合一歌平・見合二麻平・見合二佳平			koːl・kroːl・kʷroːl				kwar・kwrar		kwˤai・kwrˤai			kuai	kwa・krwa	✓
蝸	見合一歌平・見合二麻平・見合二佳平	kʷaj・kɔj・loj	krôj・g-rôj	kroːl・kʷroːl	k.rˤoj	kroj		kwrar	k[wʴˁa]i（wō）	kwrˤai	kwraːj（guā）		koai	krweɣ・krwa	✓
鍋	見合一歌平	kʷɑj	kôj	kloːl						kwˤai			kuai		✓
𨍋	見合一歌平									kwˤai					✓
𩰫	見合一歌平	kʷɑj	kôj・kʷâj												✓
𩰬	見合一歌平							kwar						kwa	✓
𩾷	見合一歌平									kɫˤoi					✓
惈	見合一歌上			kloːlʔ						[kɫ]ˤoiʔ					✓
果	見合一歌上	kʷɑjᴮ・kʷʰɑjᴮ	kôjʔ・kʷâjʔ・kʰôjʔ	kloːlʔ	[k]ˤo[r]ʔ		korʔ	kwarx	kˁɔiʔ（guǒ）	[kɫ]ˤoiʔ	kwáːj（guǒ）		kuai	kwa	✓
猓	見合一歌上			kloːlʔ						[kɫ]ˤoiʔ					✓
粿	見合一歌上			kloːlʔ						[kɫ]ˤoiʔ					✓
菓	見合一歌上			kloːlʔ						[kɫ]ˤoiʔ					✓
蜾	見合一歌上	kʷɑjᴮ・lʷɑjᴮ	kôjʔ・rôjʔ	kloːlʔ	kˤorʔ	kojʔ・kʷajʔ		kwarx	kˁɔiʔ（guǒ）	[kɫ]ˤoiʔ	kwáːj（guǒ）		kuai	kwa	✓
