	MC	schuesslerLHC	schuesslerOC	zhengzhang	baxter-sagart	baxter1992	jinlixin	lifanggui	msoeg	msoegDK	starostinLO	starostinTK	wangli	zhoufagao	上古讀有
塕	影一東上			qloːŋʔ				ʔuŋx		ʔ(ɫ)ˤoŋʔ				ʔewŋ	✓
暡	影一東上			qloːŋʔ						ʔ(ɫ)ˤoŋʔ					✓
滃	影一東上			qloːŋʔ				ʔuŋx		ʔ(ɫ)ˤoŋʔ			0ɔŋ	ʔewŋ	✓
蓊	影一東上・影一東平			qloːŋ・qloːŋʔ						ʔ(ɫ)ˤoŋ・ʔ(ɫ)ˤoŋʔ			0ɔŋ		✓
郺	影一東上・影三C鍾平			qoːŋʔ・qoŋ						ʔoŋ					✓
䈵	影一東上・影一東平							ʔuŋ		ʔ(ɫ)ˤoŋ・ʔ(ɫ)ˤoŋʔ				ʔewŋ	✓
䐥	影一東上									ʔ(ɫ)ˤoŋʔ					✓
𤌏	影一東上									ʔ(ɫ)ˤoŋʔ					✓
瓮	影一東去	ʔoŋᶜ	ʔôŋh	qloːŋs	qˤoŋ-s			ʔuŋh	ʔɫˁɔŋh（wèng）	ʔ(ɫ)ˤoŋh❓				ʔewŋ	✓
甕	影一東去	ʔoŋᶜ	ʔôŋh	qoːŋs	qˤoŋ-s			ʔuŋh	ʔɫˁɔŋh（wèng）	ʔˤoŋ			0ɔŋ	ʔewŋ	✓
罋	影一東去・影三C鍾平	ʔoŋᶜ	ʔôŋh	qoːŋs・qoŋ				ʔjuŋ		ʔˤoŋ・ʔoŋ				ʔjewŋ・ʔewŋ	✓
蕹	影一東去・影三C鍾平														
𦉥	影一東去									ʔˤoŋ					✓
𪖵	影一東去									ʔˤoŋ					✓
剭	影一東入	ʔok	ʔôk	qoːg						ʔˤok					✓
屋	影一東入	ʔok	ʔôk	qoːg	qˤok・ʔˤok❓	ʔok		ʔuk	ʔˁɔk（wū）	ʔˤok	ʔoːk（wū）	ʔoːk（wū）	0ɔk	ʔewk	✓
䑁	影一東入・影一冬入														
𡲃	影一東入									ʔˤok					✓
𦤼	影一東入														
𨜘	影一東入									ʔˤok					✓
𪑱	影一東入・影二江入									ʔˤok・ʔrˤok					✓
叿	曉一東平			qʰoːŋ									hɔŋ		✓
焢	曉一東平														
谾	曉一東平・曉二江平			qʰroːŋ・qʰoːŋ						hrˤoŋ					✓
𩐠	曉一東平														
𩗄	曉一東平														
嗊	曉一東上			qʰoːŋʔ											✓
𢦅	曉一東上														
嗀	曉一東入・曉二江入	hɔk・hok	hrôk	qʰroːg・qʰoːg				huk・hruk		hˤok・hrˤok				xewk・xrewk	✓
嚛	曉一東入・曉一冬入			qʰloːwɢ・qʰloːwɢ				hakʷ						xawk	✓
熇	曉一東入・曉一冬入・曉開一唐入・溪開一豪去	howk・hɑk	hâwk	qʰaːwɢ・qʰoːwɢ・qʰoːg		xawk		hakʷ・hakʷ・hakʷ	xˁauk（hè）	hˤauk		haːkʷ（hè）	hauk・hauk	xawk・xwawk・xawk	✓
鍙	曉一東入														
㷤	曉一東入									hˤok				gewk	✓
𣪥	曉一東入														
𦞦	曉一東入・曉開一唐入							hakʷ		hˤauk			hauk	xawk	✓
𧹲	曉一東入							huk		hˤok				xewk	✓
仜	匣一東平			goːŋ				guŋ		ɡˤoŋ				gewŋ	✓
垬	匣一東平														
洚	匣一東平・匣一冬平・匣二江平・見二江去	goŋ・gowŋ・gɔŋᶜ・kɔŋᶜ	grûŋ	kruːŋs・gruːŋ・gloːŋ・gluːŋ				krəŋʷh		krˤuŋh・ɡrˤuŋ			keuŋ	gewŋ・gəwŋ・grəwŋ・krəwŋ	✓
洪	匣一東平	goŋ	gôŋ	gloːŋ			goŋ	guŋ		ɡˤoŋ			ɣɔŋ	gewŋ	✓
渱	匣一東平			goːŋ						ɡˤoŋ					✓
紅	匣一東平	goŋ	gôŋ	goːŋ	gˤoŋ	goŋ		guŋ	gˁɔŋ（hóng）	ɡˤoŋ	gʱoːŋ（hóng）		ɣɔŋ	gewŋ	✓
葒	匣一東平			goːŋ						ɡˤoŋ					✓
葓	匣一東平			goːŋ						ɡˤoŋ					✓
