Unicode		按	遺		現		TUPA（用現）	遺	現
13581	㔍		初合仙入	✓	初合三仙入	✓	tsrhuet		cyut3
13581	㔍		初合刪入	✓	初合二刪入	✓	tsrhwaet		caat3
13582	㔎		心開仙入	✓	心開三仙入	✓	siet		sit3
13582	㔎		疑開B眞入	✓	疑開三B真入	✓	ngyit		ngat6
13583	㔏		來開青入	✓	來開四青入	✓	lek		lik6
13586	㔒		匣合齊平	✓	匣合四齊平	✓	ghwej		wai4
13587	㔓		見開元上	✓	見開三C元上	✓	kyonq		gin2
13591	㔗		並微去	✓	並三C微去	✓	bujh		fei6
13593	㔙		幫二庚平	✓	幫二庚平	✓	paeng		bang1
13597	㔝		來開陽上	✓	來開三陽上	✓	lyangq		loeng5
13598	㔞		溪合皆平	✓	溪合二皆平	✓	khweej		faai1
13600	㔠		曉開刪入	✓	曉開二刪入	✓	haet		haat3
13601	㔡		幫先入	✓	幫四先入	✓	pet		bit3
13602	㔢		精合仙入	✓	精合三仙入	✓	tswiet		zyut3
13603	㔣		來灰去	✓	來合一灰去	✓	lojh		leoi6
13603	㔣		來灰平	✓	來合一灰平	✓	loj		leoi4
13605	㔥		並佳上	✓	並二佳上	✓	beeq		baai6
13609	㔩		影覃入	✓	影開一覃入	✓	qop		ap3
13610	㔪		來模上	✓	來一模上	✓	loq		lou5
13614	㔮		泥開一歌平	✓	泥開一歌平	✓	na		no4
13615	㔯		邪合仙平	✓	邪合三仙平	✓	zwien		cyun4
13618	㔲		見合B脂上	✓	見合三B脂上		kuiq		gwai2
13620	㔴		以開蒸入	✓	以開三蒸入	✓	jyk		jik6
13622	㔶		見一東去	✓	見一東去	✓	koungh		gung3
13622	㔶		見覃上	✓	見開一覃上	✓	komq		gam2
13624	㔸		透開齊平	✓	透開四齊平	✓	thej		tai1
13625	㔹		來開登入	✓	來開一登入	✓	leok		lak6
13627	㔻		滂B脂平	✓	滂三B脂平	✓	phyi		pei1
13632	㕀		以尤平		以三尤平	✓	ju		jau4
13638	㕆		匣模上	✓	匣一模上	✓	ghoq		wu6
13638	㕆		端模上	✓	端一模上	✓	toq		dou2
13639	㕇		來覃入	✓	來開一覃入	✓	lop		laap6
13640	㕈		影咍上	✓	影開一咍上	✓	qeojq		oi2
13640	㕈		影灰去	✓	影合一灰去	✓	qojh		wui3
13640	㕈		影開微上		影開三C微上	✓	qyjq		ji2
13642	㕊		滂虞平	✓	滂三C虞平	✓	phuo		fu1
13643	㕋		羣B侵平	✓	羣開三B侵平	✓	gyim		kam4
13646	㕎		溪談入	✓	溪開一談入	✓	khap		hap3
13650	㕒		疑合B支平	✓	疑合三B支平	✓	ngue		ngai4
13655	㕗		以尤上	✓	以三尤上	✓	juq		jau5
13657	㕙		清合眞平	✓	清合三真平	✓	tshwin		ceon1
13657	㕙		精合眞去	✓	精合三真去	✓	tswinh		zeon3
13658	㕚		莊肴上	✓	莊開二肴上	✓	tsraewq		zaau2
13659	㕛		云尤上	✓	云三C尤上	✓	uq		jau5
13662	㕞		生合仙入	✓	生合三仙入	✓	sruet		syut3
13663	㕟		溪合皆去	✓	溪合二皆去	✓	khweejh		faai3
13665	㕡		曉開唐入	✓	曉開一唐入	✓	hak		hok3
13666	㕢		匣開夬去	✓	匣開二夬去	✓	ghaejh		haai6
13666	㕢		見咍去	✓	見開一咍去	✓	keojh		goi3
13667	㕣		以合仙上	✓	以合三仙上	✓	jwienq		jyun5
13670	㕦		匣合二麻去	✓	匣合二麻去	✓	ghwaeh		waa6
13671	㕧		曉開B脂去	✓	曉開三B脂去	✓	hyih		hei3
13676	㕬		章鍾平	✓	章三鍾平	✓	tjuong		zung1
13677	㕭		影肴平	✓	影開二肴平	✓	qaew		aau1
